algo,timingFullProtocol,timingSendAppData,timingProcessServerHello,timingWriteClientHello,timingWriteKEMCiphertext
Kyber512,214.347776,214.347554,0.016284,0.985987,0.016284
Kyber512,214.987287,214.987008,0.017087,1.084459,0.017087
Kyber512,214.416413,214.416186,0.037935,0.903930,0.037935
Kyber512,214.173573,214.173262,0.017345,1.205171,0.017345
Kyber512,213.767298,213.766981,0.015656,0.904947,0.015656
Kyber512,214.186374,214.186052,0.012913,0.942399,0.012913
Kyber512,214.616744,214.616497,0.018317,0.879949,0.018317
Kyber512,214.308913,214.308663,0.017180,0.963158,0.017180
Kyber512,214.938220,214.937885,0.018564,0.906387,0.018564
Kyber512,214.760446,214.760127,0.019544,0.923680,0.019544
Kyber512,215.019871,215.019653,0.018794,0.919274,0.018794
Kyber512,214.152051,214.151773,0.021638,1.012722,0.021638
Kyber512,213.696940,213.696639,0.014213,1.062406,0.014213
Kyber512,215.117792,215.117571,0.012939,1.144138,0.012939
Kyber512,214.241946,214.241683,0.035750,1.072783,0.035750
Kyber512,213.961489,213.961241,0.018598,0.975635,0.018598
Kyber512,213.990504,213.990183,0.015542,0.921493,0.015542
Kyber512,214.314655,214.314434,0.023019,1.024576,0.023019
Kyber512,214.297603,214.297277,0.019037,0.928191,0.019037
Kyber512,214.575773,214.575571,0.024221,0.902731,0.024221
Kyber512,214.681863,214.681521,0.013364,1.053624,0.013364
Kyber512,214.172495,214.172165,0.016152,0.917901,0.016152
Kyber512,215.018717,215.018381,0.015030,0.927668,0.015030
Kyber512,5537.049313,5537.049090,0.031695,0.945978,0.031695
Kyber512,214.934485,214.934201,0.012980,0.993828,0.012980
Kyber512,214.568899,214.568684,0.022180,1.088934,0.022180
Kyber512,213.977744,213.977471,0.016426,0.920746,0.016426
Kyber512,214.301138,214.300834,0.018399,0.887486,0.018399
Kyber512,214.404813,214.404587,0.019022,0.900022,0.019022
Kyber512,214.798734,214.798425,0.017831,1.478459,0.017831
Kyber512,214.321360,214.321124,0.024131,0.884079,0.024131
Kyber512,215.078092,215.077800,0.016772,0.912751,0.016772
Kyber512,213.968122,213.967799,0.016743,0.878931,0.016743
Kyber512,214.393319,214.393010,0.021174,1.087559,0.021174
Kyber512,214.278860,214.278579,0.018026,0.901537,0.018026
Kyber512,214.047218,214.046865,0.021559,0.890680,0.021559
Kyber512,214.225453,214.225037,0.016794,0.886275,0.016794
Kyber512,214.470471,214.470194,0.019257,0.973748,0.019257
Kyber512,215.141724,215.141492,0.018372,1.132771,0.018372
Kyber512,213.920544,213.920315,0.018887,0.995117,0.018887
Kyber512,213.853922,213.853607,0.018937,0.980409,0.018937
Kyber512,213.890757,213.890431,0.015312,0.909478,0.015312
Kyber512,214.801543,214.801231,0.019039,0.912959,0.019039
Kyber512,214.645825,214.645541,0.017383,1.172141,0.017383
Kyber512,214.349340,214.349017,0.017030,0.914597,0.017030
Kyber512,214.509435,214.509140,0.015200,0.980725,0.015200
Kyber512,214.783977,214.783653,0.016874,1.350201,0.016874
Kyber512,213.782339,213.782127,0.013550,0.701815,0.013550
Kyber512,214.420245,214.420017,0.024630,0.979986,0.024630
Kyber512,214.463585,214.463355,0.013385,0.919588,0.013385
Kyber512,214.242196,214.241916,0.013555,1.025942,0.013555
Kyber512,215.129370,215.129088,0.017521,0.934662,0.017521
Kyber512,214.917489,214.917193,0.013430,0.937546,0.013430
Kyber512,214.727176,214.726916,0.017578,0.961545,0.017578
Kyber512,213.897258,213.897031,0.021208,0.949772,0.021208
Kyber512,215.155505,215.155230,0.013646,1.197763,0.013646
Kyber512,214.475305,214.475000,0.022558,0.904932,0.022558
Kyber512,214.016717,214.016488,0.016894,0.952984,0.016894
Kyber512,213.882554,213.882316,0.021045,0.921204,0.021045
Kyber512,214.159770,214.159447,0.019664,0.918326,0.019664
Kyber512,214.251260,214.250944,0.018099,1.475439,0.018099
Kyber512,214.466598,214.466277,0.017189,0.912213,0.017189
Kyber512,213.991884,213.908699,0.018076,1.239872,0.018076
Kyber512,214.039280,214.038967,0.019910,0.993715,0.019910
Kyber512,214.077158,214.076842,0.021461,1.021972,0.021461
Kyber512,214.204778,214.204506,0.019730,1.075668,0.019730
Kyber512,214.478394,214.478097,0.014196,0.926644,0.014196
Kyber512,214.925277,214.924942,0.024761,1.029979,0.024761
Kyber512,213.920427,213.920112,0.021283,0.946627,0.021283
Kyber512,214.430346,214.430029,0.018675,1.100036,0.018675
