algo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello,timingWriteKEMCiphertext
Kyber512,641.615086,0.014181,0.170899,0.014181
Kyber512,640.149971,0.009622,0.122357,0.009622
Kyber512,640.030660,0.016784,0.130779,0.016784
Kyber512,639.987314,0.016209,0.138709,0.016209
Kyber512,641.369789,0.012401,0.124965,0.012401
Kyber512,641.076896,0.016294,0.115227,0.016294
Kyber512,640.276714,0.012114,0.137912,0.012114
Kyber512,641.296880,0.013644,0.150781,0.013644
Kyber512,640.073405,0.012867,0.140477,0.012867
Kyber512,639.016922,0.012817,0.135340,0.012817
Kyber512,640.505505,0.009527,0.116404,0.009527
Kyber512,640.814417,0.016455,0.152857,0.016455
Kyber512,640.209245,0.015429,0.123229,0.015429
Kyber512,638.941976,0.017038,0.132299,0.017038
Kyber512,641.797531,0.014366,0.223012,0.014366
Kyber512,645.737468,0.016841,0.143773,0.016841
Kyber512,641.712490,0.017172,0.116655,0.017172
Kyber512,642.220054,0.015800,0.179095,0.015800
Kyber512,640.121437,0.015845,0.131899,0.015845
Kyber512,641.286406,0.015956,0.121967,0.015956
Kyber512,640.634492,0.015231,0.124545,0.015231
Kyber512,641.070189,0.015896,0.136212,0.015896
Kyber512,639.663198,0.016890,0.129816,0.016890
Kyber512,639.144918,0.016758,0.142611,0.016758
Kyber512,639.374391,0.015646,0.120697,0.015646
Kyber512,640.240723,0.015295,0.135671,0.015295
Kyber512,640.184200,0.014657,0.128048,0.014657
Kyber512,638.907051,0.014278,0.137767,0.014278
Kyber512,639.865274,0.011212,0.192199,0.011212
Kyber512,640.618812,0.015365,0.145669,0.015365
Kyber512,666.923130,0.014904,0.117615,0.014904
Kyber512,645.608602,0.015930,0.132749,0.015930
Kyber512,640.064105,0.012846,0.124804,0.012846
Kyber512,641.436557,0.011389,0.117879,0.011389
Kyber512,640.568898,0.017189,0.129251,0.017189
Kyber512,639.731566,0.016994,0.125218,0.016994
Kyber512,641.160754,0.015154,0.146173,0.015154
Kyber512,639.970192,0.015456,0.143442,0.015456
Kyber512,638.407917,0.016579,0.136729,0.016579
Kyber512,641.300696,0.017614,0.173127,0.017614
Kyber512,640.554481,0.015477,0.148457,0.015477
Kyber512,639.339654,0.017100,0.117829,0.017100
Kyber512,639.054791,0.014087,0.132319,0.014087
Kyber512,640.080498,0.016581,0.144577,0.016581
Kyber512,641.002448,0.015594,0.166561,0.015594
Kyber512,641.186067,0.015509,0.123875,0.015509
Kyber512,641.237773,0.015466,0.135199,0.015466
Kyber512,640.389552,0.015290,0.146608,0.015290
Kyber512,641.892865,0.017045,0.122593,0.017045
Kyber512,641.109144,0.016978,0.135139,0.016978
Kyber512,640.189859,0.016176,0.141808,0.016176
Kyber512,641.391404,0.011913,0.131692,0.011913
Kyber512,641.055859,0.013579,0.127808,0.013579
Kyber512,639.495969,0.016220,0.124021,0.016220
Kyber512,639.746657,0.014084,0.142834,0.014084
Kyber512,641.082689,0.013928,0.138714,0.013928
Kyber512,639.937014,0.015485,0.125837,0.015485
Kyber512,638.907738,0.016896,0.124840,0.016896
Kyber512,638.241224,0.016563,0.122000,0.016563
Kyber512,640.141335,0.015087,0.126463,0.015087
Kyber512,640.080916,0.021203,0.119277,0.021203
Kyber512,640.073353,0.015804,0.129165,0.015804
Kyber512,638.589228,0.011947,0.114592,0.011947
Kyber512,641.256467,0.016979,0.143354,0.016979
Kyber512,639.876599,0.011753,0.134388,0.011753
Kyber512,638.992288,0.018813,0.142577,0.018813
Kyber512,640.618703,0.011076,0.132155,0.011076
Kyber512,642.229362,0.013244,0.173281,0.013244
Kyber512,639.991401,0.016435,0.133957,0.016435
Kyber512,640.315377,0.016847,0.143916,0.016847
Kyber512,639.563568,0.015467,0.127316,0.015467
Kyber512,640.466972,0.012044,0.136455,0.012044
Kyber512,638.915907,0.032533,0.124516,0.032533
Kyber512,639.633269,0.012228,0.128034,0.012228
Kyber512,640.378339,0.014553,0.128513,0.014553
Kyber512,640.266818,0.011166,0.118555,0.011166
Kyber512,640.837189,0.015931,0.128951,0.015931
Kyber512,640.254123,0.014115,0.133493,0.014115
Kyber512,639.699217,0.013411,0.126556,0.013411
Kyber512,639.559353,0.016915,0.122817,0.016915
Kyber512,640.913292,0.011677,0.153116,0.011677
Kyber512,640.067143,0.013409,0.118865,0.013409
Kyber512,639.183613,0.013131,0.159566,0.013131
Kyber512,641.527640,0.012590,0.131034,0.012590
Kyber512,641.892235,0.023513,0.121852,0.023513
Kyber512,641.034444,0.009644,0.179461,0.009644
Kyber512,641.347792,0.015238,0.115723,0.015238
Kyber512,639.232687,0.016197,0.121356,0.016197
Kyber512,641.457549,0.016464,0.159492,0.016464
Kyber512,640.813680,0.010442,0.140302,0.010442
Kyber512,640.139744,0.020722,0.122389,0.020722
Kyber512,641.133922,0.016336,0.127838,0.016336
Kyber512,641.603248,0.015251,0.129379,0.015251
Kyber512,639.933644,0.015865,0.121955,0.015865
Kyber512,639.949386,0.017038,0.132027,0.017038
Kyber512,639.647366,0.015446,0.121284,0.015446
Kyber512,639.518335,0.016383,0.123382,0.016383
Kyber512,639.632962,0.016584,0.131406,0.016584
Kyber512,638.596292,0.017417,0.125114,0.017417
Kyber512,641.621998,0.015700,0.136299,0.015700
Kyber512,639.536609,0.016208,0.121885,0.016208
Kyber512,641.229754,0.013926,0.139422,0.013926
Kyber512,640.118920,0.009751,0.132765,0.009751
Kyber512,641.137052,0.012601,0.182905,0.012601
Kyber512,638.353762,0.014753,0.131870,0.014753
Kyber512,639.909750,0.014865,0.127452,0.014865
Kyber512,641.301378,0.016259,0.141497,0.016259
Kyber512,640.199681,0.013444,0.149382,0.013444
Kyber512,640.956851,0.014655,0.150990,0.014655
Kyber512,638.031534,0.016689,0.122691,0.016689
Kyber512,641.236776,0.016083,0.126364,0.016083
Kyber512,641.173770,0.012474,0.150559,0.012474
Kyber512,641.322362,0.016207,0.171628,0.016207
Kyber512,638.330844,0.010111,0.147138,0.010111
Kyber512,639.801257,0.009971,0.143286,0.009971
Kyber512,640.205640,0.016540,0.136093,0.016540
Kyber512,640.121531,0.013851,0.138751,0.013851
Kyber512,640.458418,0.016588,0.126575,0.016588
Kyber512,640.223075,0.012967,0.136110,0.012967
Kyber512,639.127889,0.016969,0.129519,0.016969
Kyber512,640.225620,0.016243,0.119219,0.016243
Kyber512,640.778426,0.016762,0.146521,0.016762
Kyber512,640.089327,0.016896,0.123330,0.016896
Kyber512,640.214121,0.016859,0.122586,0.016859
Kyber512,639.767436,0.013380,0.127872,0.013380
Kyber512,638.947104,0.008952,0.123124,0.008952
Kyber512,639.873576,0.014910,0.127074,0.014910
Kyber512,638.702838,0.013657,0.128548,0.013657
Kyber512,640.132809,0.013357,0.123715,0.013357
Kyber512,640.016111,0.014107,0.215587,0.014107
Kyber512,639.981439,0.016450,0.137507,0.016450
Kyber512,639.170875,0.015249,0.136035,0.015249
Kyber512,641.759299,0.015147,0.136208,0.015147
Kyber512,640.568965,0.013735,0.165499,0.013735
Kyber512,640.286928,0.009657,0.144701,0.009657
Kyber512,639.521296,0.016187,0.132905,0.016187
Kyber512,639.502237,0.013075,0.123115,0.013075
Kyber512,639.859876,0.014679,0.175317,0.014679
Kyber512,640.282165,0.013055,0.117603,0.013055
Kyber512,640.031612,0.016357,0.127633,0.016357
Kyber512,638.788951,0.017258,0.126392,0.017258
Kyber512,639.739362,0.012390,0.130924,0.012390
Kyber512,638.532693,0.016710,0.139187,0.016710
Kyber512,639.767215,0.016383,0.116892,0.016383
Kyber512,641.372947,0.011022,0.120118,0.011022
Kyber512,638.360577,0.016163,0.122186,0.016163
Kyber512,639.970202,0.016600,0.129429,0.016600
Kyber512,639.830934,0.015726,0.151591,0.015726
Kyber512,638.795721,0.014772,0.125599,0.014772
Kyber512,639.786807,0.016977,0.128824,0.016977
Kyber512,639.233172,0.011036,0.126786,0.011036
Kyber512,641.506869,0.014584,0.118688,0.014584
Kyber512,640.160260,0.017394,0.137652,0.017394
Kyber512,640.882948,0.016749,0.122134,0.016749
Kyber512,640.647872,0.009157,0.174003,0.009157
Kyber512,641.034557,0.015416,0.132512,0.015416
Kyber512,641.152914,0.017288,0.127924,0.017288
Kyber512,640.379639,0.014102,0.167717,0.014102
Kyber512,640.124476,0.015500,0.140124,0.015500
Kyber512,640.054497,0.015434,0.126361,0.015434
Kyber512,640.482541,0.015880,0.176837,0.015880
Kyber512,641.354077,0.014888,0.149997,0.014888
Kyber512,639.700500,0.012447,0.126652,0.012447
Kyber512,639.926077,0.015305,0.145164,0.015305
Kyber512,637.881899,0.017007,0.117371,0.017007
Kyber512,638.357600,0.012686,0.135405,0.012686
Kyber512,641.692311,0.015222,0.124527,0.015222
Kyber512,640.688948,0.015390,0.125495,0.015390
Kyber512,640.219599,0.020861,0.146778,0.020861
Kyber512,639.719637,0.009169,0.127467,0.009169
Kyber512,640.195762,0.016728,0.123777,0.016728
Kyber512,641.718121,0.016182,0.128911,0.016182
Kyber512,639.524737,0.016698,0.136732,0.016698
Kyber512,639.271296,0.015831,0.142072,0.015831
Kyber512,638.902350,0.016420,0.151415,0.016420
Kyber512,641.462926,0.016584,0.138906,0.016584
Kyber512,639.637107,0.012942,0.132714,0.012942
Kyber512,639.893376,0.012191,0.122995,0.012191
Kyber512,641.205361,0.015127,0.121254,0.015127
Kyber512,640.665818,0.013541,0.147130,0.013541
Kyber512,641.296703,0.016125,0.146190,0.016125
Kyber512,639.534285,0.011940,0.137613,0.011940
Kyber512,639.932627,0.016979,0.119031,0.016979
Kyber512,639.129523,0.014682,0.125790,0.014682
Kyber512,638.239164,0.012314,0.117966,0.012314
Kyber512,639.846524,0.010456,0.130566,0.010456
Kyber512,639.373805,0.017417,0.127932,0.017417
Kyber512,639.884489,0.074535,0.121241,0.074535
Kyber512,639.922098,0.015494,0.136501,0.015494
Kyber512,640.164423,0.016535,0.133331,0.016535
Kyber512,640.785572,0.011823,0.127617,0.011823
Kyber512,641.542393,0.014720,0.120276,0.014720
Kyber512,638.170534,0.013071,0.127649,0.013071
Kyber512,641.129105,0.008932,0.150800,0.008932
Kyber512,639.414174,0.014705,0.114113,0.014705
Kyber512,639.838666,0.016324,0.115226,0.016324
Kyber512,641.800726,0.011999,0.140880,0.011999
Kyber512,641.231437,0.015578,0.143205,0.015578
Kyber512,641.336032,0.012893,0.137329,0.012893
Kyber512,640.449981,0.015702,0.123718,0.015702
Kyber512,640.107717,0.014486,0.129627,0.014486
Kyber512,640.148214,0.013566,0.122648,0.013566
Kyber512,639.315578,0.016675,0.166852,0.016675
Kyber512,641.494360,0.016767,0.119760,0.016767
Kyber512,638.658006,0.017381,0.208540,0.017381
Kyber512,641.159525,0.015325,0.141324,0.015325
Kyber512,641.626309,0.015631,0.123756,0.015631
Kyber512,640.004243,0.013673,0.141569,0.013673
Kyber512,639.859652,0.020570,0.123591,0.020570
Kyber512,640.083015,0.013819,0.126954,0.013819
Kyber512,640.020077,0.012992,0.123392,0.012992
Kyber512,640.003848,0.015272,0.128029,0.015272
Kyber512,640.020232,0.017727,0.128619,0.017727
Kyber512,638.272098,0.009885,0.133054,0.009885
Kyber512,639.829599,0.015279,0.117093,0.015279
Kyber512,641.515702,0.014924,0.127165,0.014924
Kyber512,639.649584,0.014110,0.132757,0.014110
Kyber512,639.743954,0.014168,0.160431,0.014168
Kyber512,1489.449243,0.015298,0.162107,0.015298
Kyber512,640.278567,0.014747,0.192698,0.014747
Kyber512,641.639626,0.009887,0.128885,0.009887
Kyber512,641.082171,0.012850,0.139521,0.012850
Kyber512,641.321212,0.014556,0.125117,0.014556
Kyber512,641.199669,0.012047,0.129216,0.012047
Kyber512,639.219585,0.012566,0.131614,0.012566
Kyber512,639.791590,0.012385,0.133974,0.012385
Kyber512,641.097638,0.014010,0.132314,0.014010
Kyber512,639.375984,0.013954,0.129865,0.013954
Kyber512,638.168926,0.014996,0.121964,0.014996
Kyber512,640.848183,0.012117,0.127166,0.012117
Kyber512,640.337700,0.016698,0.134047,0.016698
Kyber512,639.047696,0.014750,0.132627,0.014750
Kyber512,640.104123,0.012002,0.153735,0.012002
Kyber512,641.077166,0.012420,0.118548,0.012420
Kyber512,641.441400,0.009289,0.136707,0.009289
Kyber512,640.707527,0.011112,0.121710,0.011112
Kyber512,640.279723,0.015661,0.156391,0.015661
Kyber512,639.146236,0.016335,0.149722,0.016335
Kyber512,639.034952,0.016727,0.130768,0.016727
Kyber512,640.196457,0.017157,0.119705,0.017157
Kyber512,640.157264,0.009765,0.183009,0.009765
Kyber512,641.608386,0.011811,0.122226,0.011811
Kyber512,639.817077,0.014061,0.152694,0.014061
Kyber512,639.465854,0.027004,0.131288,0.027004
Kyber512,641.283405,0.012678,0.125958,0.012678
Kyber512,639.841715,0.013256,0.132842,0.013256
Kyber512,638.582046,0.012730,0.117509,0.012730
Kyber512,641.695438,0.014544,0.130056,0.014544
Kyber512,640.088718,0.014430,0.115794,0.014430
Kyber512,639.712906,0.014709,0.126677,0.014709
Kyber512,640.271998,0.014799,0.119700,0.014799
Kyber512,638.853442,0.014525,0.118987,0.014525
Kyber512,640.304063,0.016404,0.120241,0.016404
Kyber512,641.500991,0.015170,0.128786,0.015170
Kyber512,639.732645,0.014632,0.126383,0.014632
Kyber512,639.801689,0.011341,0.115957,0.011341
Kyber512,639.012909,0.013915,0.124867,0.013915
Kyber512,641.437868,0.014881,0.119580,0.014881
Kyber512,640.643781,0.016228,0.140179,0.016228
Kyber512,640.424445,0.016593,0.141876,0.016593
Kyber512,639.983468,0.011218,0.151150,0.011218
Kyber512,641.198395,0.016272,0.123402,0.016272
Kyber512,641.327514,0.016490,0.118707,0.016490
Kyber512,641.426432,0.017140,0.150412,0.017140
Kyber512,640.820205,0.010838,0.117630,0.010838
Kyber512,641.285771,0.015132,0.122053,0.015132
Kyber512,640.847799,0.017170,0.132244,0.017170
Kyber512,640.984008,0.013198,0.130183,0.013198
Kyber512,639.855782,0.017257,0.135059,0.017257
Kyber512,640.832413,0.013443,0.131487,0.013443
Kyber512,639.412587,0.016137,0.129873,0.016137
Kyber512,638.718941,0.016561,0.133556,0.016561
Kyber512,641.483413,0.016606,0.244309,0.016606
Kyber512,640.272561,0.015293,0.120718,0.015293
Kyber512,639.527492,0.011896,0.136457,0.011896
Kyber512,640.468430,0.014749,0.136257,0.014749
Kyber512,649.442355,0.015237,0.135743,0.015237
Kyber512,639.698784,0.009012,0.125105,0.009012
Kyber512,640.971446,0.016996,0.137842,0.016996
Kyber512,640.950640,0.013130,0.148479,0.013130
Kyber512,640.722347,0.010241,0.130021,0.010241
Kyber512,639.828876,0.014539,0.156084,0.014539
Kyber512,641.135405,0.016022,0.120129,0.016022
Kyber512,641.632973,0.013769,0.129864,0.013769
Kyber512,638.742402,0.016874,0.136739,0.016874
Kyber512,640.169445,0.013440,0.118179,0.013440
Kyber512,640.510546,0.014075,0.167831,0.014075
Kyber512,640.745965,0.017372,0.131430,0.017372
Kyber512,639.581955,0.014445,0.141564,0.014445
Kyber512,640.568333,0.015247,0.133856,0.015247
Kyber512,639.989736,0.012217,0.134288,0.012217
Kyber512,639.703193,0.014662,0.117550,0.014662
Kyber512,639.912066,0.012133,0.116670,0.012133
Kyber512,642.169226,0.016294,0.121655,0.016294
Kyber512,641.458617,0.015533,0.123482,0.015533
Kyber512,641.779259,0.012802,0.131113,0.012802
Kyber512,639.533274,0.021008,0.125091,0.021008
Kyber512,640.323155,0.012517,0.153542,0.012517
Kyber512,640.120446,0.009685,0.162722,0.009685
Kyber512,640.507976,0.008870,0.130865,0.008870
Kyber512,640.450758,0.013204,0.129043,0.013204
Kyber512,640.095638,0.010749,0.127898,0.010749
Kyber512,641.035352,0.010397,0.163631,0.010397
Kyber512,638.543224,0.011764,0.136854,0.011764
Kyber512,638.172014,0.015604,0.121466,0.015604
Kyber512,638.309377,0.015206,0.125655,0.015206
Kyber512,640.326615,0.014646,0.132172,0.014646
Kyber512,640.371557,0.027766,0.116919,0.027766
Kyber512,641.646752,0.015230,0.121855,0.015230
Kyber512,641.729254,0.013329,0.134196,0.013329
Kyber512,639.799789,0.018370,0.121581,0.018370
Kyber512,641.124513,0.012673,0.121573,0.012673
Kyber512,640.030431,0.015635,0.146504,0.015635
Kyber512,641.269832,0.014735,0.120202,0.014735
Kyber512,641.335450,0.014782,0.117815,0.014782
Kyber512,640.164207,0.012581,0.121989,0.012581
Kyber512,640.818739,0.013123,0.143886,0.013123
Kyber512,639.826224,0.015811,0.126298,0.015811
Kyber512,639.509874,0.011831,0.124138,0.011831
Kyber512,639.768609,0.015646,0.121719,0.015646
Kyber512,639.849744,0.009453,0.159026,0.009453
Kyber512,639.909142,0.013523,0.124028,0.013523
Kyber512,641.238205,0.015561,0.137730,0.015561
Kyber512,639.927635,0.015577,0.125682,0.015577
Kyber512,639.958268,0.014270,0.177191,0.014270
Kyber512,640.351430,0.014805,0.122041,0.014805
Kyber512,639.741094,0.013975,0.151868,0.013975
Kyber512,641.098713,0.012179,0.117931,0.012179
Kyber512,640.464044,0.014643,0.126930,0.014643
Kyber512,639.906235,0.015783,0.129202,0.015783
Kyber512,638.669040,0.081095,0.178115,0.081095
Kyber512,641.333772,0.017538,0.128047,0.017538
Kyber512,640.913113,0.015949,0.138244,0.015949
Kyber512,640.341916,0.015961,0.129354,0.015961
Kyber512,639.906452,0.016420,0.124259,0.016420
Kyber512,639.505862,0.013844,0.124356,0.013844
Kyber512,639.213654,0.015370,0.130976,0.015370
Kyber512,641.466075,0.017414,0.158927,0.017414
Kyber512,639.997173,0.017079,0.141382,0.017079
Kyber512,639.657742,0.016730,0.122518,0.016730
Kyber512,638.652630,0.013680,0.143820,0.013680
Kyber512,639.592017,0.017585,0.164854,0.017585
Kyber512,641.496147,0.009984,0.132124,0.009984
Kyber512,639.895224,0.015960,0.118389,0.015960
Kyber512,641.669992,0.016097,0.138075,0.016097
Kyber512,639.757279,0.010840,0.149242,0.010840
Kyber512,645.246157,0.011796,0.131729,0.011796
Kyber512,639.850605,0.015254,0.143617,0.015254
Kyber512,639.546088,0.016933,0.142600,0.016933
Kyber512,641.488819,0.013848,0.121174,0.013848
Kyber512,640.958738,0.015581,0.122262,0.015581
Kyber512,640.651160,0.017038,0.125206,0.017038
Kyber512,640.782590,0.016741,0.120449,0.016741
Kyber512,639.730169,0.012844,0.122303,0.012844
Kyber512,639.614973,0.014500,0.122530,0.014500
Kyber512,640.876941,0.013287,0.126958,0.013287
Kyber512,639.583800,0.017220,0.138963,0.017220
Kyber512,639.215929,0.012296,0.116692,0.012296
Kyber512,640.259375,0.017269,0.123398,0.017269
Kyber512,640.959704,0.013322,0.121784,0.013322
Kyber512,639.337282,0.015765,0.123420,0.015765
Kyber512,639.673481,0.016879,0.129763,0.016879
Kyber512,638.485380,0.016893,0.117794,0.016893
Kyber512,645.772260,0.014890,0.141142,0.014890
Kyber512,640.649924,0.015399,0.243346,0.015399
Kyber512,641.774932,0.010143,0.133357,0.010143
Kyber512,641.736662,0.016869,0.185781,0.016869
Kyber512,639.555521,0.013619,0.138327,0.013619
Kyber512,639.465310,0.013166,0.204325,0.013166
Kyber512,640.741132,0.026665,0.137237,0.026665
Kyber512,640.142728,0.013324,0.119853,0.013324
Kyber512,640.693084,0.015621,0.122411,0.015621
Kyber512,640.568521,0.015266,0.125477,0.015266
Kyber512,638.224677,0.012631,0.119187,0.012631
Kyber512,640.609889,0.009945,0.152791,0.009945
Kyber512,963.190863,0.016826,0.124385,0.016826
Kyber512,638.450634,0.015771,0.120475,0.015771
Kyber512,640.313434,0.017165,0.127684,0.017165
Kyber512,640.724171,0.015066,0.120680,0.015066
Kyber512,639.743924,0.017084,0.126977,0.017084
Kyber512,639.355789,0.013702,0.122529,0.013702
Kyber512,639.814654,0.014193,0.112896,0.014193
Kyber512,641.078872,0.017103,0.123428,0.017103
Kyber512,641.368298,0.017245,0.143821,0.017245
Kyber512,639.821141,0.016757,0.148721,0.016757
Kyber512,640.593979,0.018012,0.133987,0.018012
Kyber512,641.158849,0.013656,0.117869,0.013656
Kyber512,639.636139,0.015692,0.161954,0.015692
Kyber512,640.935312,0.015749,0.158226,0.015749
Kyber512,640.952117,0.013692,0.510750,0.013692
Kyber512,638.360435,0.013573,0.163521,0.013573
Kyber512,639.972810,0.009655,0.126264,0.009655
Kyber512,638.582946,0.017417,0.122885,0.017417
Kyber512,641.197006,0.016520,0.138728,0.016520
Kyber512,638.695782,0.013085,0.118039,0.013085
Kyber512,639.734417,0.016330,0.159627,0.016330
Kyber512,641.633621,0.015587,0.140761,0.015587
Kyber512,640.448442,0.017038,0.133614,0.017038
Kyber512,640.076472,0.013592,0.117876,0.013592
Kyber512,642.158221,0.015246,0.151543,0.015246
Kyber512,640.566032,0.016274,0.140459,0.016274
Kyber512,641.417591,0.016304,0.150288,0.016304
Kyber512,638.611400,0.012203,0.140187,0.012203
Kyber512,640.538509,0.013046,0.138825,0.013046
Kyber512,640.620974,0.015421,0.159437,0.015421
Kyber512,640.333673,0.014224,0.164281,0.014224
Kyber512,640.966072,0.011181,0.151131,0.011181
Kyber512,640.399131,0.015301,0.158379,0.015301
Kyber512,641.724985,0.016719,0.135354,0.016719
Kyber512,638.262645,0.011491,0.136856,0.011491
Kyber512,640.477778,0.009380,0.142636,0.009380
Kyber512,640.344496,0.016162,0.145459,0.016162
Kyber512,641.218605,0.018250,0.124770,0.018250
Kyber512,641.262468,0.016204,0.136321,0.016204
Kyber512,639.051996,0.009558,0.133665,0.009558
Kyber512,641.120922,0.014885,0.137415,0.014885
Kyber512,641.232565,0.014365,0.130429,0.014365
Kyber512,640.512332,0.012794,0.129136,0.012794
