algo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello,timingWriteKEMCiphertext
Kyber512,430.033619,0.013615,1.857979,0.013615
Kyber512,426.185883,0.017261,0.128873,0.017261
Kyber512,426.227118,0.019117,0.138095,0.019117
Kyber512,425.737847,0.015892,0.114728,0.015892
Kyber512,427.047490,0.016046,0.121565,0.016046
Kyber512,426.259889,0.013051,0.175956,0.013051
Kyber512,426.228500,0.017602,0.119169,0.017602
Kyber512,426.519679,0.011772,0.154766,0.011772
Kyber512,425.415604,0.016743,0.150977,0.016743
Kyber512,426.277925,0.016705,0.122741,0.016705
Kyber512,426.296141,0.015750,0.159390,0.015750
Kyber512,426.315551,0.016405,0.125426,0.016405
Kyber512,426.691350,0.016719,0.121697,0.016719
Kyber512,426.270086,0.013528,0.154090,0.013528
Kyber512,426.676225,0.016086,0.128889,0.016086
Kyber512,426.412918,0.017810,0.117710,0.017810
Kyber512,425.436294,0.017604,0.127172,0.017604
Kyber512,426.489507,0.014239,0.150385,0.014239
Kyber512,426.280464,0.012235,0.131564,0.012235
Kyber512,426.823210,0.015929,0.124698,0.015929
Kyber512,425.488519,0.016748,0.118080,0.016748
Kyber512,426.357046,0.013938,0.126197,0.013938
Kyber512,427.090239,0.015990,0.118980,0.015990
Kyber512,426.149039,0.017524,0.119555,0.017524
Kyber512,426.199617,0.013243,0.131801,0.013243
Kyber512,426.882502,0.017284,0.135559,0.017284
Kyber512,427.270647,0.015258,0.169421,0.015258
Kyber512,426.412426,0.017795,0.134723,0.017795
Kyber512,425.228637,0.017372,0.146880,0.017372
Kyber512,425.251921,0.016416,0.134710,0.016416
Kyber512,426.738496,0.010618,0.120487,0.010618
Kyber512,427.042396,0.017048,0.124989,0.017048
Kyber512,426.716375,0.013199,0.137215,0.013199
Kyber512,427.358291,0.015699,0.145912,0.015699
Kyber512,427.330179,0.011497,0.116948,0.011497
Kyber512,426.654421,0.012182,0.118215,0.012182
Kyber512,428.561150,0.028668,1.992407,0.028668
Kyber512,426.483754,0.016050,0.125953,0.016050
Kyber512,425.874123,0.015179,0.126032,0.015179
Kyber512,425.799581,0.013860,0.124421,0.013860
Kyber512,426.582977,0.015974,0.132602,0.015974
Kyber512,426.469004,0.010218,0.122415,0.010218
Kyber512,427.590977,0.011456,0.133618,0.011456
Kyber512,425.643319,0.016191,0.139011,0.016191
Kyber512,426.135120,0.017085,0.143569,0.017085
Kyber512,426.545440,0.020882,0.150749,0.020882
Kyber512,425.487174,0.016509,0.131386,0.016509
Kyber512,426.466952,0.015337,0.148589,0.015337
Kyber512,426.165850,0.014304,0.129948,0.014304
Kyber512,426.491944,0.013634,0.127031,0.013634
Kyber512,580.809008,0.017006,0.130530,0.017006
Kyber512,426.149455,0.017147,0.120616,0.017147
Kyber512,426.711021,0.017490,0.135929,0.017490
Kyber512,427.254069,0.015043,0.126194,0.015043
Kyber512,427.174578,0.018127,0.125971,0.018127
Kyber512,426.009059,0.027438,0.130326,0.027438
Kyber512,426.557914,0.015736,0.124595,0.015736
Kyber512,426.285474,0.015230,0.151995,0.015230
Kyber512,425.644713,0.016639,0.121866,0.016639
Kyber512,425.806724,0.016549,0.137142,0.016549
Kyber512,427.187636,0.014164,0.161106,0.014164
Kyber512,426.522371,0.014513,0.168501,0.014513
Kyber512,426.426623,0.017513,0.129253,0.017513
Kyber512,427.168309,0.016018,0.136322,0.016018
Kyber512,426.746537,0.016825,0.249202,0.016825
Kyber512,427.163983,0.017479,0.127376,0.017479
Kyber512,426.509306,0.015259,0.122797,0.015259
Kyber512,425.678226,0.019291,0.133447,0.019291
Kyber512,427.348006,0.011160,0.131549,0.011160
Kyber512,425.297856,0.015907,0.128339,0.015907
Kyber512,426.165737,0.017599,0.128160,0.017599
Kyber512,425.399219,0.012928,0.120600,0.012928
Kyber512,425.988760,0.013593,0.125140,0.013593
Kyber512,426.183776,0.014466,0.137767,0.014466
Kyber512,426.206526,0.017298,0.122797,0.017298
Kyber512,425.512724,0.016804,0.137814,0.016804
Kyber512,426.241296,0.013972,0.136328,0.013972
Kyber512,426.973402,0.018346,0.120787,0.018346
Kyber512,427.259053,0.013705,0.125671,0.013705
Kyber512,427.338687,0.013602,0.128721,0.013602
Kyber512,426.230056,0.016472,0.138656,0.016472
Kyber512,426.208243,0.015893,0.117233,0.015893
Kyber512,426.311830,0.016401,0.167879,0.016401
Kyber512,426.196504,0.014784,0.151376,0.014784
Kyber512,425.474391,0.083655,0.120662,0.083655
Kyber512,426.227961,0.014727,0.154117,0.014727
Kyber512,426.116862,0.017217,0.155271,0.017217
Kyber512,426.250762,0.016789,0.118491,0.016789
Kyber512,426.644476,0.017444,0.117406,0.017444
Kyber512,427.149786,0.015835,0.128857,0.015835
Kyber512,425.813415,0.012611,0.122762,0.012611
Kyber512,426.256093,0.017419,0.130208,0.017419
Kyber512,426.882870,0.010656,0.122618,0.010656
Kyber512,426.144200,0.015977,0.152602,0.015977
Kyber512,425.442690,0.014912,0.134559,0.014912
Kyber512,426.020802,0.016706,0.129659,0.016706
Kyber512,425.931156,0.012365,0.126034,0.012365
Kyber512,426.642947,0.024797,0.135935,0.024797
Kyber512,426.506161,0.015486,0.127597,0.015486
Kyber512,426.408374,0.011610,0.142033,0.011610
