KEXAlgo,authAlgo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello
P256_Kyber512,P256_Dilithium2,216.203309,0.017669,0.322596
P256_Kyber512,P256_Dilithium2,215.966954,0.017776,0.207355
P256_Kyber512,P256_Dilithium2,215.065429,0.014320,0.161341
P256_Kyber512,P256_Dilithium2,214.742589,0.022001,0.175190
P256_Kyber512,P256_Dilithium2,215.789971,0.008623,0.185510
P256_Kyber512,P256_Dilithium2,215.241289,0.015981,0.176148
P256_Kyber512,P256_Dilithium2,215.506223,0.016105,0.166971
P256_Kyber512,P256_Dilithium2,215.691064,0.013178,0.186659
P256_Kyber512,P256_Dilithium2,215.455933,0.013540,0.204571
P256_Kyber512,P256_Dilithium2,215.533578,0.016669,0.162457
P256_Kyber512,P256_Dilithium2,215.346792,0.015343,0.195443
P256_Kyber512,P256_Dilithium2,215.533252,0.016297,0.158861
P256_Kyber512,P256_Dilithium2,215.202142,0.016158,0.236648
P256_Kyber512,P256_Dilithium2,215.593138,0.017046,0.178646
P256_Kyber512,P256_Dilithium2,215.918431,0.011173,0.160023
P256_Kyber512,P256_Dilithium2,215.746099,0.012794,0.156994
P256_Kyber512,P256_Dilithium2,215.662418,0.014497,0.154420
P256_Kyber512,P256_Dilithium2,215.721985,0.011312,0.161061
P256_Kyber512,P256_Dilithium2,215.345785,0.013574,0.159831
P256_Kyber512,P256_Dilithium2,215.191966,0.011711,0.149939
P256_Kyber512,P256_Dilithium2,215.904371,0.016847,0.177992
P256_Kyber512,P256_Dilithium2,214.559437,0.012105,0.141086
P256_Kyber512,P256_Dilithium2,215.634383,0.014576,0.157965
P256_Kyber512,P256_Dilithium2,215.669698,0.018188,0.162828
P256_Kyber512,P256_Dilithium2,214.625790,0.017386,0.141102
P256_Kyber512,P256_Dilithium2,215.317785,0.015862,0.177401
P256_Kyber512,P256_Dilithium2,216.043728,0.015504,0.180916
P256_Kyber512,P256_Dilithium2,215.581430,0.016372,0.157930
P256_Kyber512,P256_Dilithium2,214.948301,0.012796,0.201006
P256_Kyber512,P256_Dilithium2,216.054659,0.015989,0.170938
P256_Kyber512,P256_Dilithium2,214.980637,0.016136,0.160977
P256_Kyber512,P256_Dilithium2,215.643758,0.010050,0.176913
P256_Kyber512,P256_Dilithium2,216.181309,0.016148,0.176675
P256_Kyber512,P256_Dilithium2,215.459530,0.011901,0.173509
P256_Kyber512,P256_Dilithium2,215.836472,0.016204,0.167128
P256_Kyber512,P256_Dilithium2,215.723086,0.012382,0.179021
P256_Kyber512,P256_Dilithium2,215.034490,0.013030,0.154175
P256_Kyber512,P256_Dilithium2,215.221457,0.017050,0.159596
P256_Kyber512,P256_Dilithium2,215.889119,0.016691,0.179486
P256_Kyber512,P256_Dilithium2,215.548191,0.016222,0.172943
P256_Kyber512,P256_Dilithium2,214.878454,0.015206,0.162808
P256_Kyber512,P256_Dilithium2,215.749179,0.022771,0.150215
P256_Kyber512,P256_Dilithium2,215.765036,0.017041,0.159440
P256_Kyber512,P256_Dilithium2,215.663618,0.016266,0.161857
P256_Kyber512,P256_Dilithium2,215.844843,0.011478,0.156790
P256_Kyber512,P256_Dilithium2,215.865656,0.011417,0.165307
P256_Kyber512,P256_Dilithium2,214.949738,0.013690,0.174559
P256_Kyber512,P256_Dilithium2,215.244809,0.015625,0.151645
P256_Kyber512,P256_Dilithium2,215.151819,0.012785,0.170249
P256_Kyber512,P256_Dilithium2,215.117828,0.016675,0.157325
P256_Kyber512,P256_Dilithium2,215.379440,0.015657,0.156117
P256_Kyber512,P256_Dilithium2,215.351414,0.016875,0.174725
P256_Kyber512,P256_Dilithium2,215.136607,0.009591,0.168614
P256_Kyber512,P256_Dilithium2,215.220048,0.017893,0.172078
P256_Kyber512,P256_Dilithium2,215.950068,0.015526,0.164839
P256_Kyber512,P256_Dilithium2,215.685934,0.013861,0.174278
P256_Kyber512,P256_Dilithium2,215.644437,0.016532,0.147651
P256_Kyber512,P256_Dilithium2,215.912898,0.015260,0.172120
P256_Kyber512,P256_Dilithium2,215.256831,0.018216,0.164582
P256_Kyber512,P256_Dilithium2,215.410452,0.015701,0.163638
P256_Kyber512,P256_Dilithium2,215.015475,0.020120,0.168538
P256_Kyber512,P256_Dilithium2,215.152215,0.010997,0.174089
P256_Kyber512,P256_Dilithium2,215.252984,0.014275,0.190654
P256_Kyber512,P256_Dilithium2,214.884303,0.024426,0.168862
