KEXAlgo,authAlgo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello
P256_Kyber512,P256_Dilithium2,218.200948,0.016423,1.498640
P256_Kyber512,P256_Dilithium2,214.360662,0.015197,0.167447
P256_Kyber512,P256_Dilithium2,214.804969,0.017231,0.208537
P256_Kyber512,P256_Dilithium2,214.695883,0.012872,0.218687
P256_Kyber512,P256_Dilithium2,214.859129,0.008489,0.204616
P256_Kyber512,P256_Dilithium2,214.530803,0.016975,0.189999
P256_Kyber512,P256_Dilithium2,214.815762,0.016013,0.174766
P256_Kyber512,P256_Dilithium2,214.906650,0.017898,0.182550
P256_Kyber512,P256_Dilithium2,214.710930,0.015093,0.183551
P256_Kyber512,P256_Dilithium2,215.350984,0.015383,0.176784
P256_Kyber512,P256_Dilithium2,214.446010,0.016148,0.157436
P256_Kyber512,P256_Dilithium2,214.686386,0.011142,0.156808
P256_Kyber512,P256_Dilithium2,215.372356,0.012279,0.179217
P256_Kyber512,P256_Dilithium2,214.484436,0.016318,0.170681
P256_Kyber512,P256_Dilithium2,214.632269,0.017490,0.166303
P256_Kyber512,P256_Dilithium2,214.740630,0.012038,0.170301
P256_Kyber512,P256_Dilithium2,215.228905,0.016012,0.177525
P256_Kyber512,P256_Dilithium2,215.136274,0.016795,0.265095
P256_Kyber512,P256_Dilithium2,214.643598,0.011854,0.167561
P256_Kyber512,P256_Dilithium2,214.624502,0.025765,0.166962
P256_Kyber512,P256_Dilithium2,215.091741,0.014343,0.159379
P256_Kyber512,P256_Dilithium2,215.319583,0.016760,0.182241
P256_Kyber512,P256_Dilithium2,214.719903,0.015733,0.164645
P256_Kyber512,P256_Dilithium2,215.224086,0.012479,0.623231
P256_Kyber512,P256_Dilithium2,214.606112,0.016756,0.175739
P256_Kyber512,P256_Dilithium2,214.404896,0.014293,0.160103
P256_Kyber512,P256_Dilithium2,215.045921,0.016756,0.165914
P256_Kyber512,P256_Dilithium2,215.021342,0.014315,0.173039
P256_Kyber512,P256_Dilithium2,215.592142,0.016502,0.158892
P256_Kyber512,P256_Dilithium2,214.765351,0.014247,0.156463
P256_Kyber512,P256_Dilithium2,214.606933,0.016455,0.162631
P256_Kyber512,P256_Dilithium2,213.962223,0.013494,0.169517
P256_Kyber512,P256_Dilithium2,214.651667,0.014749,0.172557
P256_Kyber512,P256_Dilithium2,214.090471,0.016358,0.156176
P256_Kyber512,P256_Dilithium2,214.975192,0.016282,0.170391
P256_Kyber512,P256_Dilithium2,214.832189,0.014164,0.500677
P256_Kyber512,P256_Dilithium2,214.543551,0.010965,0.190727
P256_Kyber512,P256_Dilithium2,215.048244,0.015513,0.262722
P256_Kyber512,P256_Dilithium2,214.449565,0.015312,0.160064
P256_Kyber512,P256_Dilithium2,214.090062,0.015590,0.214190
P256_Kyber512,P256_Dilithium2,214.746990,0.010954,0.203257
P256_Kyber512,P256_Dilithium2,214.736471,0.012813,0.171960
P256_Kyber512,P256_Dilithium2,215.263198,0.016326,0.152600
P256_Kyber512,P256_Dilithium2,214.066426,0.012577,0.152899
P256_Kyber512,P256_Dilithium2,214.609380,0.012511,0.166423
P256_Kyber512,P256_Dilithium2,214.908670,0.015910,0.160456
P256_Kyber512,P256_Dilithium2,214.632211,0.016266,0.174098
P256_Kyber512,P256_Dilithium2,215.030327,0.015557,0.162991
P256_Kyber512,P256_Dilithium2,214.875222,0.012687,0.169771
P256_Kyber512,P256_Dilithium2,215.539579,0.013808,0.243758
P256_Kyber512,P256_Dilithium2,213.934708,0.016972,0.148289
P256_Kyber512,P256_Dilithium2,214.687580,0.013960,0.154879
P256_Kyber512,P256_Dilithium2,215.051324,0.011550,0.159275
P256_Kyber512,P256_Dilithium2,214.617608,0.014886,0.174772
P256_Kyber512,P256_Dilithium2,215.053256,0.017888,0.165434
P256_Kyber512,P256_Dilithium2,215.730117,0.018176,0.157847
P256_Kyber512,P256_Dilithium2,215.162688,0.013494,0.185540
P256_Kyber512,P256_Dilithium2,215.107829,0.013578,0.151155
P256_Kyber512,P256_Dilithium2,214.768120,0.015686,0.191124
P256_Kyber512,P256_Dilithium2,214.250520,0.016884,0.169187
P256_Kyber512,P256_Dilithium2,214.728672,0.018178,0.174473
P256_Kyber512,P256_Dilithium2,214.574320,0.017632,0.181099
P256_Kyber512,P256_Dilithium2,214.320341,0.016034,0.408040
