algo,timingFullProtocol,timingSendAppData,timingProcessServerHello,timingWriteClientHello,timingWriteKEMCiphertext
Kyber512,431.920966,217.027051,0.009383,0.254451,0.009383
Kyber512,432.364859,217.232074,0.012317,0.189740,0.012317
Kyber512,431.271976,216.614766,0.017183,0.129161,0.017183
Kyber512,431.450467,216.812429,0.011486,0.125895,0.011486
Kyber512,434.322798,218.641247,0.014492,0.120364,0.014492
Kyber512,432.876627,217.558769,0.015286,0.146186,0.015286
Kyber512,431.428994,216.767461,0.014071,0.130145,0.014071
Kyber512,432.870925,217.842844,0.018864,0.153710,0.018864
Kyber512,432.807301,217.996572,0.012852,0.133845,0.012852
Kyber512,433.123387,218.156341,0.014187,0.142034,0.014187
Kyber512,432.408015,217.277602,0.013181,0.146366,0.013181
Kyber512,432.992993,218.180604,0.013878,0.121036,0.013878
Kyber512,432.196304,217.187676,0.016117,0.150895,0.016117
Kyber512,432.649539,217.937258,0.013526,0.155311,0.013526
Kyber512,433.139243,218.158809,0.016377,0.147505,0.016377
Kyber512,431.900252,216.980257,0.009214,0.137475,0.009214
Kyber512,431.697146,216.789677,0.011231,0.128061,0.011231
Kyber512,433.953907,218.476507,0.013628,0.121601,0.013628
Kyber512,433.557713,218.317156,0.027951,0.107531,0.027951
Kyber512,433.832889,218.529604,0.014819,0.133000,0.014819
Kyber512,431.502636,216.837097,0.015787,0.161988,0.015787
Kyber512,432.805927,217.397246,0.013102,0.135097,0.013102
Kyber512,432.589571,217.895126,0.014904,0.162790,0.014904
Kyber512,431.774943,217.171524,0.010740,0.127884,0.010740
Kyber512,432.364247,217.182921,0.010554,0.129659,0.010554
Kyber512,431.768120,216.977646,0.011275,0.207062,0.011275
Kyber512,432.898193,218.078393,0.010900,0.172559,0.010900
Kyber512,432.921402,218.036618,0.015530,0.138840,0.015530
Kyber512,433.309177,218.068238,0.016142,0.121813,0.016142
Kyber512,432.654384,217.987523,0.017083,0.127907,0.017083
Kyber512,432.401930,217.228849,0.011958,0.116863,0.011958
Kyber512,433.912123,218.522842,0.013001,0.120462,0.013001
Kyber512,431.977256,217.108044,0.013924,0.120192,0.013924
Kyber512,434.022093,218.548508,0.013279,0.118848,0.013279
Kyber512,433.167012,217.705430,0.014712,0.141219,0.014712
Kyber512,432.866492,217.773352,0.013484,0.184999,0.013484
Kyber512,432.012154,216.907746,0.014563,0.137033,0.014563
Kyber512,432.116957,217.289501,0.010698,0.142359,0.010698
Kyber512,432.212626,217.308822,0.010123,0.130020,0.010123
Kyber512,430.949008,216.487106,0.018554,0.124690,0.018554
Kyber512,431.191108,216.633384,0.013985,0.127170,0.013985
Kyber512,430.762123,216.442328,0.013342,0.128179,0.013342
Kyber512,434.507202,219.166394,0.017234,0.117278,0.017234
Kyber512,432.549362,217.863736,0.012459,0.143746,0.012459
Kyber512,433.187167,218.273706,0.015826,0.151640,0.015826
Kyber512,432.628065,217.195470,0.013967,0.134652,0.013967
Kyber512,431.902368,216.966214,0.017426,0.151224,0.017426
Kyber512,432.703522,217.916925,0.013256,0.128881,0.013256
Kyber512,432.141593,217.178872,0.014721,0.129372,0.014721
Kyber512,431.110244,216.557834,0.011235,0.129434,0.011235
Kyber512,432.478276,217.264982,0.015477,0.136453,0.015477
Kyber512,430.948789,216.488401,0.013907,0.129383,0.013907
Kyber512,432.350056,217.740851,0.013355,0.115660,0.013355
Kyber512,433.412125,217.668562,0.014729,0.129351,0.014729
Kyber512,430.945943,216.498631,0.016050,0.117222,0.016050
Kyber512,431.971154,217.565822,0.015924,0.147850,0.015924
Kyber512,433.021585,217.609285,0.017363,0.124063,0.017363
Kyber512,433.302584,217.686961,0.012816,0.156437,0.012816
Kyber512,433.021440,217.631508,0.013279,0.158235,0.013279
Kyber512,433.812929,218.422148,0.017006,0.122893,0.017006
Kyber512,432.138421,217.072744,0.020938,0.121874,0.020938
Kyber512,433.194872,217.523553,0.010681,0.111468,0.010681
Kyber512,432.704142,217.364996,0.013624,0.113377,0.013624
Kyber512,432.322131,217.558031,0.013847,0.117233,0.013847
Kyber512,431.616038,217.411793,0.015550,0.140950,0.015550
Kyber512,431.364321,216.740191,0.014426,0.136627,0.014426
Kyber512,432.178578,217.171070,0.018117,0.124221,0.018117
Kyber512,432.785814,217.824509,0.013441,0.129534,0.013441
Kyber512,431.453614,216.768419,0.014248,0.128869,0.014248
Kyber512,431.920109,216.946344,0.011056,0.125288,0.011056
Kyber512,432.589859,217.338071,0.011090,0.122094,0.011090
Kyber512,432.091774,217.059496,0.017916,0.130187,0.017916
Kyber512,432.029428,217.067458,0.016918,0.131380,0.016918
Kyber512,431.975145,217.019522,0.015704,0.135745,0.015704
Kyber512,432.726214,217.379903,0.025464,0.124278,0.025464
Kyber512,433.356907,218.234972,0.014053,0.136242,0.014053
Kyber512,432.590462,217.347391,0.015518,0.141239,0.015518
Kyber512,432.150187,217.136897,0.016760,0.141789,0.016760
Kyber512,431.534960,216.829528,0.016018,0.129090,0.016018
Kyber512,431.698344,216.901396,0.014477,0.118441,0.014477
Kyber512,432.391244,217.188001,0.016495,0.118553,0.016495
Kyber512,432.675405,217.359864,0.014773,0.135597,0.014773
Kyber512,433.128276,217.693827,0.014477,0.142450,0.014477
Kyber512,431.244671,216.623086,0.014098,0.131934,0.014098
Kyber512,434.488461,218.726052,0.023657,0.122209,0.023657
Kyber512,432.333414,217.384117,0.011742,0.176046,0.011742
Kyber512,432.763265,217.536364,0.015880,0.137446,0.015880
Kyber512,432.493512,217.391958,0.013450,0.156457,0.013450
Kyber512,432.971038,217.483763,0.009552,0.130716,0.009552
Kyber512,433.103785,218.164912,0.015587,0.138320,0.015587
Kyber512,431.684734,216.929140,0.013568,0.151549,0.013568
Kyber512,432.080423,217.313635,0.015139,0.138657,0.015139
Kyber512,433.955778,218.457160,0.012277,0.134942,0.012277
Kyber512,432.240179,217.662774,0.019411,0.133276,0.019411
Kyber512,431.944698,217.093113,0.016530,0.180780,0.016530
Kyber512,432.341381,217.230734,0.011405,0.117061,0.011405
Kyber512,432.654366,217.221750,0.013983,0.135068,0.013983
Kyber512,433.262618,218.244511,0.016942,0.122126,0.016942
Kyber512,433.848113,218.468522,0.016541,0.119096,0.016541
Kyber512,431.959575,217.022212,0.016089,0.126302,0.016089
Kyber512,432.676595,217.575274,0.009610,0.228893,0.009610
Kyber512,431.808637,216.945356,0.016286,0.134288,0.016286
Kyber512,432.465909,217.121697,0.013455,0.133557,0.013455
Kyber512,432.911314,218.024410,0.014176,0.121434,0.014176
