KEXAlgo,authAlgo,timingFullProtocol,timingProcessServerHello,timingWriteClientHello
P256_Kyber512,P256_Dilithium2,218.413557,0.014143,0.387516
P256_Kyber512,P256_Dilithium2,218.479642,0.015378,0.161326
P256_Kyber512,P256_Dilithium2,218.601332,0.015898,0.190095
P256_Kyber512,P256_Dilithium2,217.294535,0.016873,0.213078
P256_Kyber512,P256_Dilithium2,217.237790,0.010650,0.173421
P256_Kyber512,P256_Dilithium2,218.407943,0.013140,0.174763
P256_Kyber512,P256_Dilithium2,218.205463,0.014370,0.177368
P256_Kyber512,P256_Dilithium2,217.417715,0.021777,0.203675
P256_Kyber512,P256_Dilithium2,217.815199,0.009490,0.174598
P256_Kyber512,P256_Dilithium2,217.373923,0.017527,0.171967
P256_Kyber512,P256_Dilithium2,216.695758,0.014039,0.192054
P256_Kyber512,P256_Dilithium2,217.900624,0.014985,0.181561
P256_Kyber512,P256_Dilithium2,216.423980,0.011385,0.237241
P256_Kyber512,P256_Dilithium2,217.979135,0.015382,0.169848
P256_Kyber512,P256_Dilithium2,217.386308,0.010374,0.196158
P256_Kyber512,P256_Dilithium2,217.976032,0.029310,0.176649
P256_Kyber512,P256_Dilithium2,217.970864,0.011344,0.262997
P256_Kyber512,P256_Dilithium2,217.617696,0.015135,0.245747
P256_Kyber512,P256_Dilithium2,218.086296,0.009710,0.196007
P256_Kyber512,P256_Dilithium2,217.646530,0.014727,0.206516
P256_Kyber512,P256_Dilithium2,217.018149,0.010286,0.199309
P256_Kyber512,P256_Dilithium2,217.445696,0.042529,0.203142
P256_Kyber512,P256_Dilithium2,217.706590,0.010225,0.153895
P256_Kyber512,P256_Dilithium2,217.906756,0.015022,0.187319
P256_Kyber512,P256_Dilithium2,217.573589,0.008844,0.238877
P256_Kyber512,P256_Dilithium2,217.978257,0.014964,0.218743
P256_Kyber512,P256_Dilithium2,217.494278,0.014266,0.169425
P256_Kyber512,P256_Dilithium2,218.168886,0.017776,0.155083
P256_Kyber512,P256_Dilithium2,218.483398,0.009381,0.352991
P256_Kyber512,P256_Dilithium2,217.132569,0.015820,0.189292
P256_Kyber512,P256_Dilithium2,217.671278,0.015168,0.163129
P256_Kyber512,P256_Dilithium2,217.529886,0.011713,0.190299
P256_Kyber512,P256_Dilithium2,217.521436,0.010402,0.197243
P256_Kyber512,P256_Dilithium2,217.247076,0.018012,0.163579
P256_Kyber512,P256_Dilithium2,218.413621,0.015355,0.187587
P256_Kyber512,P256_Dilithium2,217.840626,0.015345,0.191191
P256_Kyber512,P256_Dilithium2,217.845407,0.014702,0.158959
P256_Kyber512,P256_Dilithium2,216.752824,0.015141,0.171473
P256_Kyber512,P256_Dilithium2,217.324459,0.013291,0.162948
P256_Kyber512,P256_Dilithium2,217.509419,0.023860,0.175190
P256_Kyber512,P256_Dilithium2,217.471633,0.012217,0.179155
P256_Kyber512,P256_Dilithium2,217.251939,0.016776,0.183109
P256_Kyber512,P256_Dilithium2,216.358215,0.012740,0.160304
P256_Kyber512,P256_Dilithium2,216.715932,0.014985,0.166890
P256_Kyber512,P256_Dilithium2,217.281051,0.010802,0.162512
P256_Kyber512,P256_Dilithium2,216.845676,0.015286,0.175370
P256_Kyber512,P256_Dilithium2,216.800076,0.011633,0.156288
P256_Kyber512,P256_Dilithium2,217.897419,0.011031,0.182096
P256_Kyber512,P256_Dilithium2,218.015988,0.009784,0.157452
P256_Kyber512,P256_Dilithium2,217.488094,0.015367,0.210495
P256_Kyber512,P256_Dilithium2,218.443997,0.017804,0.173606
P256_Kyber512,P256_Dilithium2,216.811062,0.014633,0.263950
P256_Kyber512,P256_Dilithium2,216.955019,0.010689,0.159343
P256_Kyber512,P256_Dilithium2,217.366476,0.014120,0.200909
P256_Kyber512,P256_Dilithium2,217.818183,0.010059,0.213151
P256_Kyber512,P256_Dilithium2,217.128531,0.013568,0.214508
P256_Kyber512,P256_Dilithium2,217.424642,0.017478,0.202710
P256_Kyber512,P256_Dilithium2,217.387702,0.015136,0.198045
P256_Kyber512,P256_Dilithium2,217.508080,0.011285,0.157206
P256_Kyber512,P256_Dilithium2,217.883342,0.013091,0.164947
P256_Kyber512,P256_Dilithium2,218.017121,0.010760,0.163835
P256_Kyber512,P256_Dilithium2,217.599588,0.022056,0.213767
P256_Kyber512,P256_Dilithium2,218.470520,0.012233,0.158691
P256_Kyber512,P256_Dilithium2,218.887264,0.013208,0.218127
P256_Kyber512,P256_Dilithium2,216.605654,0.014021,0.169696
P256_Kyber512,P256_Dilithium2,218.438428,0.018405,0.167225
P256_Kyber512,P256_Dilithium2,217.365123,0.012788,0.176373
P256_Kyber512,P256_Dilithium2,217.550345,0.012268,0.173618
P256_Kyber512,P256_Dilithium2,217.689978,0.014042,0.166857
P256_Kyber512,P256_Dilithium2,217.228943,0.009860,0.203560
P256_Kyber512,P256_Dilithium2,217.421740,0.013987,0.203521
P256_Kyber512,P256_Dilithium2,217.282004,0.013665,0.165104
P256_Kyber512,P256_Dilithium2,218.647469,0.018540,0.219123
P256_Kyber512,P256_Dilithium2,216.720139,0.014426,0.171712
P256_Kyber512,P256_Dilithium2,217.584235,0.012662,0.156394
P256_Kyber512,P256_Dilithium2,218.143009,0.014240,0.160873
P256_Kyber512,P256_Dilithium2,218.634331,0.010873,0.189550
P256_Kyber512,P256_Dilithium2,218.478785,0.016904,0.167409
P256_Kyber512,P256_Dilithium2,218.195718,0.015159,0.174521
P256_Kyber512,P256_Dilithium2,217.879782,0.013597,0.172272
P256_Kyber512,P256_Dilithium2,218.344645,0.012359,0.158553
P256_Kyber512,P256_Dilithium2,218.023624,0.010587,0.160431
P256_Kyber512,P256_Dilithium2,217.472974,0.014605,0.163409
P256_Kyber512,P256_Dilithium2,216.113942,0.013002,0.191438
P256_Kyber512,P256_Dilithium2,218.185328,0.010254,0.169435
P256_Kyber512,P256_Dilithium2,218.616868,0.012387,0.177286
P256_Kyber512,P256_Dilithium2,217.794879,0.012961,0.167854
P256_Kyber512,P256_Dilithium2,217.814455,0.016062,0.158475
P256_Kyber512,P256_Dilithium2,216.575858,0.015288,0.157025
P256_Kyber512,P256_Dilithium2,218.506859,0.014815,0.200953
P256_Kyber512,P256_Dilithium2,216.505449,0.009134,0.159214
P256_Kyber512,P256_Dilithium2,218.035295,0.013268,0.160730
P256_Kyber512,P256_Dilithium2,218.142939,0.012374,0.147275
P256_Kyber512,P256_Dilithium2,216.811832,0.014396,0.163634
P256_Kyber512,P256_Dilithium2,217.457278,0.012798,0.164704
P256_Kyber512,P256_Dilithium2,217.955617,0.015035,0.186217
P256_Kyber512,P256_Dilithium2,216.991686,0.013765,0.158341
P256_Kyber512,P256_Dilithium2,219.054853,0.013617,0.147433
P256_Kyber512,P256_Dilithium2,217.835415,0.011823,0.174659
P256_Kyber512,P256_Dilithium2,217.551396,0.013062,0.165810
P256_Kyber512,P256_Dilithium2,217.135213,0.019623,0.251326
P256_Kyber512,P256_Dilithium2,218.219541,0.012426,0.144927
P256_Kyber512,P256_Dilithium2,222.667505,0.014074,0.175260
P256_Kyber512,P256_Dilithium2,216.637618,0.013874,0.166682
P256_Kyber512,P256_Dilithium2,218.037484,0.014356,0.172706
P256_Kyber512,P256_Dilithium2,217.019506,0.011884,0.192349
P256_Kyber512,P256_Dilithium2,216.734677,0.011323,0.171037
P256_Kyber512,P256_Dilithium2,217.590655,0.014616,0.226846
P256_Kyber512,P256_Dilithium2,218.346104,0.013584,0.189387
P256_Kyber512,P256_Dilithium2,218.105660,0.011153,0.175395
P256_Kyber512,P256_Dilithium2,216.764632,0.011394,0.172465
P256_Kyber512,P256_Dilithium2,218.981987,0.019630,0.182137
P256_Kyber512,P256_Dilithium2,218.033641,0.018735,0.548139
P256_Kyber512,P256_Dilithium2,217.108626,0.015172,0.187252
P256_Kyber512,P256_Dilithium2,217.750840,0.013762,0.180820
P256_Kyber512,P256_Dilithium2,217.696336,0.019127,0.165787
P256_Kyber512,P256_Dilithium2,217.910150,0.014850,0.174348
P256_Kyber512,P256_Dilithium2,217.773552,0.014602,0.172528
P256_Kyber512,P256_Dilithium2,217.576165,0.016021,0.164575
P256_Kyber512,P256_Dilithium2,217.726606,0.010592,0.172668
P256_Kyber512,P256_Dilithium2,217.205350,0.014364,0.304905
P256_Kyber512,P256_Dilithium2,217.552222,0.013011,0.182589
P256_Kyber512,P256_Dilithium2,218.328144,0.013185,0.164682
P256_Kyber512,P256_Dilithium2,217.507172,0.013475,0.160011
P256_Kyber512,P256_Dilithium2,217.639091,0.012054,0.149073
P256_Kyber512,P256_Dilithium2,217.485979,0.015294,0.173061
P256_Kyber512,P256_Dilithium2,217.646651,0.009830,0.163096
P256_Kyber512,P256_Dilithium2,217.720187,0.009421,0.165164
P256_Kyber512,P256_Dilithium2,216.674529,0.015988,0.152664
P256_Kyber512,P256_Dilithium2,217.933942,0.017174,0.163616
P256_Kyber512,P256_Dilithium2,217.931037,0.013899,0.230585
P256_Kyber512,P256_Dilithium2,217.497941,0.013410,0.179169
P256_Kyber512,P256_Dilithium2,217.625541,0.015216,0.180585
P256_Kyber512,P256_Dilithium2,217.415063,0.009546,0.170716
P256_Kyber512,P256_Dilithium2,218.778484,0.013794,0.174509
P256_Kyber512,P256_Dilithium2,217.358177,0.010036,0.173582
P256_Kyber512,P256_Dilithium2,217.764683,0.014941,0.189483
P256_Kyber512,P256_Dilithium2,217.115102,0.015358,0.176824
P256_Kyber512,P256_Dilithium2,218.276877,0.009282,0.161541
P256_Kyber512,P256_Dilithium2,217.645982,0.012800,0.190372
P256_Kyber512,P256_Dilithium2,217.195195,0.018736,0.185557
P256_Kyber512,P256_Dilithium2,218.227490,0.014545,0.158185
P256_Kyber512,P256_Dilithium2,217.428495,0.014203,0.169364
