Algoritmo de troca de chaves,Algoritmo de autenticação,Time to send app data
P256_HQC_128,P256_HQC_128,153.793262
P256_HQC_128,P256_HQC_128,133.326653
P256_HQC_128,P256_HQC_128,137.912958
P256_HQC_128,P256_HQC_128,147.206783
P256_HQC_128,P256_HQC_128,146.526674
P256_HQC_128,P256_HQC_128,144.008922
P256_HQC_128,P256_HQC_128,149.667631
P256_HQC_128,P256_HQC_128,139.371504
P256_HQC_128,P256_HQC_128,132.696919
P256_HQC_128,P256_HQC_128,138.594706
P256_HQC_128,P256_HQC_128,139.285785
P256_HQC_128,P256_HQC_128,147.232704
P256_HQC_128,P256_HQC_128,145.543775
P256_HQC_128,P256_HQC_128,146.698982
P256_HQC_128,P256_HQC_128,136.760777
P256_HQC_128,P256_HQC_128,137.25747
P256_HQC_128,P256_HQC_128,134.376977
P256_HQC_128,P256_HQC_128,143.990677
P256_HQC_128,P256_HQC_128,140.372957
P256_HQC_128,P256_HQC_128,147.406159
P256_HQC_128,P256_HQC_128,144.273678
P256_HQC_128,P256_HQC_128,135.932745
P256_HQC_128,P256_HQC_128,142.709299
P256_HQC_128,P256_HQC_128,139.769321
P256_HQC_128,P256_HQC_128,146.447624
P256_HQC_128,P256_HQC_128,151.749551
P256_HQC_128,P256_HQC_128,142.773012
P256_HQC_128,P256_HQC_128,145.164647
P256_HQC_128,P256_HQC_128,148.168329
P256_HQC_128,P256_HQC_128,137.943474
P256_HQC_128,P256_HQC_128,147.887276
P256_HQC_128,P256_HQC_128,154.791945
P256_HQC_128,P256_HQC_128,157.372941
P256_HQC_128,P256_HQC_128,138.240324
P256_HQC_128,P256_HQC_128,154.224317
P256_HQC_128,P256_HQC_128,136.725798
P256_HQC_128,P256_HQC_128,151.522436
P256_HQC_128,P256_HQC_128,136.53747
P256_HQC_128,P256_HQC_128,146.281786
P256_HQC_128,P256_HQC_128,143.647957
P256_HQC_128,P256_HQC_128,137.351057
P256_HQC_128,P256_HQC_128,135.711732
P256_HQC_128,P256_HQC_128,137.962452
P256_HQC_128,P256_HQC_128,138.947321
P256_HQC_128,P256_HQC_128,144.231852
P256_HQC_128,P256_HQC_128,156.26536
P256_HQC_128,P256_HQC_128,139.931058
P256_HQC_128,P256_HQC_128,134.833614
P256_HQC_128,P256_HQC_128,143.588643
P256_HQC_128,P256_HQC_128,148.756093
P256_HQC_128,P256_HQC_128,141.405168
P256_HQC_128,P256_HQC_128,148.668429
P256_HQC_128,P256_HQC_128,137.319857
P256_HQC_128,P256_HQC_128,151.156266
P256_HQC_128,P256_HQC_128,146.09893
P256_HQC_128,P256_HQC_128,142.313531
P256_HQC_128,P256_HQC_128,147.047345
P256_HQC_128,P256_HQC_128,139.738874
P256_HQC_128,P256_HQC_128,139.094916
P256_HQC_128,P256_HQC_128,137.866513
P256_HQC_128,P256_HQC_128,141.968096
P256_HQC_128,P256_HQC_128,155.605949
P256_HQC_128,P256_HQC_128,149.959452
P256_HQC_128,P256_HQC_128,136.602076
P256_HQC_128,P256_HQC_128,147.090478
P256_HQC_128,P256_HQC_128,145.448678
P256_HQC_128,P256_HQC_128,154.622689
P256_HQC_128,P256_HQC_128,139.502155
P256_HQC_128,P256_HQC_128,141.706985
P256_HQC_128,P256_HQC_128,148.322479
P256_HQC_128,P256_HQC_128,135.359959
P256_HQC_128,P256_HQC_128,134.43091
P256_HQC_128,P256_HQC_128,141.492292
P256_HQC_128,P256_HQC_128,141.299752
P256_HQC_128,P256_HQC_128,157.324227
P256_HQC_128,P256_HQC_128,136.243812
P256_HQC_128,P256_HQC_128,148.255908
P256_HQC_128,P256_HQC_128,138.285021
P256_HQC_128,P256_HQC_128,137.662586
P256_HQC_128,P256_HQC_128,150.253666
P256_HQC_128,P256_HQC_128,148.552735
P256_HQC_128,P256_HQC_128,139.28314
P256_HQC_128,P256_HQC_128,138.604531
P256_HQC_128,P256_HQC_128,154.53053
P256_HQC_128,P256_HQC_128,135.900197
P256_HQC_128,P256_HQC_128,139.168442
P256_HQC_128,P256_HQC_128,137.835124
P256_HQC_128,P256_HQC_128,133.956082
P256_HQC_128,P256_HQC_128,142.89924
P256_HQC_128,P256_HQC_128,139.622517
P256_HQC_128,P256_HQC_128,136.13513
P256_HQC_128,P256_HQC_128,138.635393
P256_HQC_128,P256_HQC_128,141.113025
P256_HQC_128,P256_HQC_128,149.248693
P256_HQC_128,P256_HQC_128,147.336587
P256_HQC_128,P256_HQC_128,139.785754
P256_HQC_128,P256_HQC_128,138.39716
P256_HQC_128,P256_HQC_128,145.639278
P256_HQC_128,P256_HQC_128,137.593096
P256_HQC_128,P256_HQC_128,134.20335
P256_HQC_128,P256_HQC_128,156.387906
P256_HQC_128,P256_HQC_128,149.246332
P256_HQC_128,P256_HQC_128,140.575019
P256_HQC_128,P256_HQC_128,145.74245
P256_HQC_128,P256_HQC_128,149.676854
P256_HQC_128,P256_HQC_128,135.200418
P256_HQC_128,P256_HQC_128,145.990352
P256_HQC_128,P256_HQC_128,145.129711
P256_HQC_128,P256_HQC_128,145.214764
P256_HQC_128,P256_HQC_128,146.78844
P256_HQC_128,P256_HQC_128,150.14153
P256_HQC_128,P256_HQC_128,153.330197
P256_HQC_128,P256_HQC_128,139.366217
P256_HQC_128,P256_HQC_128,141.70265
P256_HQC_128,P256_HQC_128,154.578888
P256_HQC_128,P256_HQC_128,144.677787
P256_HQC_128,P256_HQC_128,145.46164
P256_HQC_128,P256_HQC_128,137.002288
P256_HQC_128,P256_HQC_128,134.366787
P256_HQC_128,P256_HQC_128,141.303848
P256_HQC_128,P256_HQC_128,138.388984
P256_HQC_128,P256_HQC_128,143.9526
P256_HQC_128,P256_HQC_128,147.06464
P256_HQC_128,P256_HQC_128,142.553905
P256_HQC_128,P256_HQC_128,146.549825
P256_HQC_128,P256_HQC_128,133.77541
P256_HQC_128,P256_HQC_128,146.229785
P256_HQC_128,P256_HQC_128,156.187363
P256_HQC_128,P256_HQC_128,150.090502
P256_HQC_128,P256_HQC_128,156.618923
P256_HQC_128,P256_HQC_128,136.83355
P256_HQC_128,P256_HQC_128,149.377995
P256_HQC_128,P256_HQC_128,138.666405
P256_HQC_128,P256_HQC_128,140.999594
P256_HQC_128,P256_HQC_128,145.961607
P256_HQC_128,P256_HQC_128,135.968711
P256_HQC_128,P256_HQC_128,144.535816
P256_HQC_128,P256_HQC_128,139.525296
