Algoritmo de troca de chaves,Algoritmo de autenticação,Time to send app data
P256_HQC_128,P256_Dilithium2,146.390485
P256_HQC_128,P256_Dilithium2,138.240487
P256_HQC_128,P256_Dilithium2,149.995592
P256_HQC_128,P256_Dilithium2,142.604434
P256_HQC_128,P256_Dilithium2,140.295005
P256_HQC_128,P256_Dilithium2,131.080679
P256_HQC_128,P256_Dilithium2,138.805397
P256_HQC_128,P256_Dilithium2,141.103273
P256_HQC_128,P256_Dilithium2,144.257954
P256_HQC_128,P256_Dilithium2,133.089335
P256_HQC_128,P256_Dilithium2,140.816791
P256_HQC_128,P256_Dilithium2,140.487655
P256_HQC_128,P256_Dilithium2,142.310892
P256_HQC_128,P256_Dilithium2,140.129464
P256_HQC_128,P256_Dilithium2,134.319318
P256_HQC_128,P256_Dilithium2,135.361323
P256_HQC_128,P256_Dilithium2,139.230685
P256_HQC_128,P256_Dilithium2,130.537116
P256_HQC_128,P256_Dilithium2,141.937987
P256_HQC_128,P256_Dilithium2,152.066893
P256_HQC_128,P256_Dilithium2,145.790111
P256_HQC_128,P256_Dilithium2,132.694567
P256_HQC_128,P256_Dilithium2,134.12671
P256_HQC_128,P256_Dilithium2,130.447466
P256_HQC_128,P256_Dilithium2,141.632471
P256_HQC_128,P256_Dilithium2,149.821895
P256_HQC_128,P256_Dilithium2,144.068504
P256_HQC_128,P256_Dilithium2,133.55213
P256_HQC_128,P256_Dilithium2,130.502667
P256_HQC_128,P256_Dilithium2,142.752369
P256_HQC_128,P256_Dilithium2,143.363288
P256_HQC_128,P256_Dilithium2,144.650731
P256_HQC_128,P256_Dilithium2,150.943715
P256_HQC_128,P256_Dilithium2,136.578568
P256_HQC_128,P256_Dilithium2,137.997151
P256_HQC_128,P256_Dilithium2,140.675178
P256_HQC_128,P256_Dilithium2,132.737708
P256_HQC_128,P256_Dilithium2,140.865181
P256_HQC_128,P256_Dilithium2,139.668037
P256_HQC_128,P256_Dilithium2,140.745991
P256_HQC_128,P256_Dilithium2,133.230684
P256_HQC_128,P256_Dilithium2,141.581188
P256_HQC_128,P256_Dilithium2,138.537373
P256_HQC_128,P256_Dilithium2,139.850249
P256_HQC_128,P256_Dilithium2,137.691642
P256_HQC_128,P256_Dilithium2,141.078239
P256_HQC_128,P256_Dilithium2,141.400438
P256_HQC_128,P256_Dilithium2,132.658441
P256_HQC_128,P256_Dilithium2,148.080402
P256_HQC_128,P256_Dilithium2,136.208819
P256_HQC_128,P256_Dilithium2,146.595315
P256_HQC_128,P256_Dilithium2,135.237697
P256_HQC_128,P256_Dilithium2,133.699506
P256_HQC_128,P256_Dilithium2,151.991457
P256_HQC_128,P256_Dilithium2,144.403637
P256_HQC_128,P256_Dilithium2,136.982361
P256_HQC_128,P256_Dilithium2,140.952245
P256_HQC_128,P256_Dilithium2,134.960274
P256_HQC_128,P256_Dilithium2,140.92103
P256_HQC_128,P256_Dilithium2,147.486483
P256_HQC_128,P256_Dilithium2,131.562246
P256_HQC_128,P256_Dilithium2,132.870654
P256_HQC_128,P256_Dilithium2,137.181016
P256_HQC_128,P256_Dilithium2,138.323447
P256_HQC_128,P256_Dilithium2,142.11879
P256_HQC_128,P256_Dilithium2,145.061011
P256_HQC_128,P256_Dilithium2,137.891176
P256_HQC_128,P256_Dilithium2,136.42208
P256_HQC_128,P256_Dilithium2,151.16383
P256_HQC_128,P256_Dilithium2,144.740604
P256_HQC_128,P256_Dilithium2,140.729599
P256_HQC_128,P256_Dilithium2,140.329689
P256_HQC_128,P256_Dilithium2,138.40406
P256_HQC_128,P256_Dilithium2,144.707044
P256_HQC_128,P256_Dilithium2,137.145915
P256_HQC_128,P256_Dilithium2,133.972486
P256_HQC_128,P256_Dilithium2,136.743178
P256_HQC_128,P256_Dilithium2,153.179513
P256_HQC_128,P256_Dilithium2,132.610507
P256_HQC_128,P256_Dilithium2,152.094476
P256_HQC_128,P256_Dilithium2,128.379196
P256_HQC_128,P256_Dilithium2,142.65249
P256_HQC_128,P256_Dilithium2,135.386059
P256_HQC_128,P256_Dilithium2,151.607009
P256_HQC_128,P256_Dilithium2,135.672449
P256_HQC_128,P256_Dilithium2,132.230618
P256_HQC_128,P256_Dilithium2,145.338991
P256_HQC_128,P256_Dilithium2,150.771493
P256_HQC_128,P256_Dilithium2,137.269549
P256_HQC_128,P256_Dilithium2,147.539539
P256_HQC_128,P256_Dilithium2,134.976061
P256_HQC_128,P256_Dilithium2,138.701661
P256_HQC_128,P256_Dilithium2,143.13812
P256_HQC_128,P256_Dilithium2,142.306585
P256_HQC_128,P256_Dilithium2,134.054777
P256_HQC_128,P256_Dilithium2,142.164047
P256_HQC_128,P256_Dilithium2,142.462064
P256_HQC_128,P256_Dilithium2,141.776414
