Algoritmo de troca de chaves,Algoritmo de autenticação,Time to send app data
P256_HQC_128,P256_HQC_128,103.031314
P256_HQC_128,P256_HQC_128,97.897957
P256_HQC_128,P256_HQC_128,99.352578
P256_HQC_128,P256_HQC_128,108.3699
P256_HQC_128,P256_HQC_128,107.823068
P256_HQC_128,P256_HQC_128,103.786345
P256_HQC_128,P256_HQC_128,104.010575
P256_HQC_128,P256_HQC_128,100.084207
P256_HQC_128,P256_HQC_128,104.319048
P256_HQC_128,P256_HQC_128,104.255938
P256_HQC_128,P256_HQC_128,105.96933
P256_HQC_128,P256_HQC_128,103.801792
P256_HQC_128,P256_HQC_128,103.987999
P256_HQC_128,P256_HQC_128,100.703396
P256_HQC_128,P256_HQC_128,106.73694
P256_HQC_128,P256_HQC_128,107.489251
P256_HQC_128,P256_HQC_128,105.727315
P256_HQC_128,P256_HQC_128,98.342493
P256_HQC_128,P256_HQC_128,103.632372
P256_HQC_128,P256_HQC_128,107.097162
P256_HQC_128,P256_HQC_128,101.538657
P256_HQC_128,P256_HQC_128,107.33823
P256_HQC_128,P256_HQC_128,99.886557
P256_HQC_128,P256_HQC_128,106.070209
P256_HQC_128,P256_HQC_128,104.20424
P256_HQC_128,P256_HQC_128,104.321385
P256_HQC_128,P256_HQC_128,99.843239
P256_HQC_128,P256_HQC_128,101.495522
P256_HQC_128,P256_HQC_128,95.705402
P256_HQC_128,P256_HQC_128,101.415402
P256_HQC_128,P256_HQC_128,104.594477
P256_HQC_128,P256_HQC_128,107.947543
P256_HQC_128,P256_HQC_128,106.155833
P256_HQC_128,P256_HQC_128,100.300813
P256_HQC_128,P256_HQC_128,98.357644
P256_HQC_128,P256_HQC_128,101.712288
P256_HQC_128,P256_HQC_128,103.545936
P256_HQC_128,P256_HQC_128,103.479333
P256_HQC_128,P256_HQC_128,100.715478
P256_HQC_128,P256_HQC_128,105.608788
P256_HQC_128,P256_HQC_128,100.72807
P256_HQC_128,P256_HQC_128,104.842678
P256_HQC_128,P256_HQC_128,102.399637
P256_HQC_128,P256_HQC_128,101.210581
P256_HQC_128,P256_HQC_128,106.262658
P256_HQC_128,P256_HQC_128,100.839803
P256_HQC_128,P256_HQC_128,100.280312
P256_HQC_128,P256_HQC_128,107.831389
P256_HQC_128,P256_HQC_128,100.75944
P256_HQC_128,P256_HQC_128,104.234129
P256_HQC_128,P256_HQC_128,99.591833
P256_HQC_128,P256_HQC_128,104.342207
P256_HQC_128,P256_HQC_128,102.016707
P256_HQC_128,P256_HQC_128,95.851219
P256_HQC_128,P256_HQC_128,99.499193
P256_HQC_128,P256_HQC_128,105.924269
P256_HQC_128,P256_HQC_128,103.39291
P256_HQC_128,P256_HQC_128,98.94886
P256_HQC_128,P256_HQC_128,97.320335
P256_HQC_128,P256_HQC_128,99.282539
P256_HQC_128,P256_HQC_128,106.250839
P256_HQC_128,P256_HQC_128,102.296953
P256_HQC_128,P256_HQC_128,100.444242
P256_HQC_128,P256_HQC_128,106.986183
P256_HQC_128,P256_HQC_128,102.689446
P256_HQC_128,P256_HQC_128,101.739549
P256_HQC_128,P256_HQC_128,101.832687
P256_HQC_128,P256_HQC_128,105.717722
P256_HQC_128,P256_HQC_128,97.239672
P256_HQC_128,P256_HQC_128,102.15708
P256_HQC_128,P256_HQC_128,102.940461
P256_HQC_128,P256_HQC_128,98.102352
P256_HQC_128,P256_HQC_128,102.054077
P256_HQC_128,P256_HQC_128,104.074606
P256_HQC_128,P256_HQC_128,100.939551
P256_HQC_128,P256_HQC_128,97.464218
P256_HQC_128,P256_HQC_128,99.87437
P256_HQC_128,P256_HQC_128,106.916087
P256_HQC_128,P256_HQC_128,103.627441
P256_HQC_128,P256_HQC_128,99.944786
P256_HQC_128,P256_HQC_128,99.947234
P256_HQC_128,P256_HQC_128,99.346885
P256_HQC_128,P256_HQC_128,99.160889
P256_HQC_128,P256_HQC_128,100.368473
P256_HQC_128,P256_HQC_128,106.926459
P256_HQC_128,P256_HQC_128,99.884059
P256_HQC_128,P256_HQC_128,100.188122
P256_HQC_128,P256_HQC_128,103.905243
P256_HQC_128,P256_HQC_128,102.779037
P256_HQC_128,P256_HQC_128,101.638918
P256_HQC_128,P256_HQC_128,101.807532
P256_HQC_128,P256_HQC_128,104.807097
P256_HQC_128,P256_HQC_128,103.715332
P256_HQC_128,P256_HQC_128,102.413589
P256_HQC_128,P256_HQC_128,102.484041
P256_HQC_128,P256_HQC_128,99.685885
P256_HQC_128,P256_HQC_128,104.961387
P256_HQC_128,P256_HQC_128,104.717476
P256_HQC_128,P256_HQC_128,98.381993
P256_HQC_128,P256_HQC_128,99.661777
P256_HQC_128,P256_HQC_128,100.318478
P256_HQC_128,P256_HQC_128,100.966378
P256_HQC_128,P256_HQC_128,109.048327
P256_HQC_128,P256_HQC_128,103.766969
P256_HQC_128,P256_HQC_128,106.163877
P256_HQC_128,P256_HQC_128,101.376059
P256_HQC_128,P256_HQC_128,99.759366
P256_HQC_128,P256_HQC_128,103.543433
P256_HQC_128,P256_HQC_128,100.648784
P256_HQC_128,P256_HQC_128,102.861758
P256_HQC_128,P256_HQC_128,99.401996
P256_HQC_128,P256_HQC_128,98.470566
P256_HQC_128,P256_HQC_128,105.025105
P256_HQC_128,P256_HQC_128,102.098076
P256_HQC_128,P256_HQC_128,104.512041
P256_HQC_128,P256_HQC_128,104.443166
P256_HQC_128,P256_HQC_128,101.650893
P256_HQC_128,P256_HQC_128,107.314058
P256_HQC_128,P256_HQC_128,101.434113
P256_HQC_128,P256_HQC_128,96.853575
P256_HQC_128,P256_HQC_128,105.717131
P256_HQC_128,P256_HQC_128,102.634595
P256_HQC_128,P256_HQC_128,101.924607
P256_HQC_128,P256_HQC_128,98.187189
P256_HQC_128,P256_HQC_128,100.670697
P256_HQC_128,P256_HQC_128,98.059831
P256_HQC_128,P256_HQC_128,108.600734
P256_HQC_128,P256_HQC_128,102.776337
P256_HQC_128,P256_HQC_128,102.71896
P256_HQC_128,P256_HQC_128,103.462063
P256_HQC_128,P256_HQC_128,105.44054
P256_HQC_128,P256_HQC_128,96.85029
P256_HQC_128,P256_HQC_128,99.194913
P256_HQC_128,P256_HQC_128,102.428076
P256_HQC_128,P256_HQC_128,107.942835
P256_HQC_128,P256_HQC_128,103.934246
P256_HQC_128,P256_HQC_128,100.483773
P256_HQC_128,P256_HQC_128,96.88509
P256_HQC_128,P256_HQC_128,108.459499
P256_HQC_128,P256_HQC_128,102.442875
P256_HQC_128,P256_HQC_128,100.607136
P256_HQC_128,P256_HQC_128,100.608905
P256_HQC_128,P256_HQC_128,102.880875
P256_HQC_128,P256_HQC_128,99.070484
P256_HQC_128,P256_HQC_128,103.716795
P256_HQC_128,P256_HQC_128,101.339124
P256_HQC_128,P256_HQC_128,100.74431
P256_HQC_128,P256_HQC_128,102.502427
P256_HQC_128,P256_HQC_128,104.595054
P256_HQC_128,P256_HQC_128,106.32099
P256_HQC_128,P256_HQC_128,96.224369
P256_HQC_128,P256_HQC_128,97.868131
P256_HQC_128,P256_HQC_128,105.244175
P256_HQC_128,P256_HQC_128,102.490114
P256_HQC_128,P256_HQC_128,102.169892
P256_HQC_128,P256_HQC_128,104.653483
P256_HQC_128,P256_HQC_128,103.566419
P256_HQC_128,P256_HQC_128,102.912253
P256_HQC_128,P256_HQC_128,102.52171
P256_HQC_128,P256_HQC_128,98.146366
P256_HQC_128,P256_HQC_128,104.49104
P256_HQC_128,P256_HQC_128,104.388101
P256_HQC_128,P256_HQC_128,100.885973
P256_HQC_128,P256_HQC_128,107.034425
P256_HQC_128,P256_HQC_128,105.218696
P256_HQC_128,P256_HQC_128,102.240976
P256_HQC_128,P256_HQC_128,105.511256
P256_HQC_128,P256_HQC_128,101.949282
P256_HQC_128,P256_HQC_128,102.088659
P256_HQC_128,P256_HQC_128,100.485787
P256_HQC_128,P256_HQC_128,103.95705
P256_HQC_128,P256_HQC_128,105.513739
P256_HQC_128,P256_HQC_128,97.594033
P256_HQC_128,P256_HQC_128,104.855877
P256_HQC_128,P256_HQC_128,108.828648
