Algoritmo de troca de chaves,Algoritmo de autenticação,Time to send app data
P256_HQC_128,P256_Dilithium2,89.370254
P256_HQC_128,P256_Dilithium2,88.24561
P256_HQC_128,P256_Dilithium2,92.671527
P256_HQC_128,P256_Dilithium2,89.554565
P256_HQC_128,P256_Dilithium2,91.714326
P256_HQC_128,P256_Dilithium2,93.581053
P256_HQC_128,P256_Dilithium2,89.054397
P256_HQC_128,P256_Dilithium2,91.977441
P256_HQC_128,P256_Dilithium2,87.71733
P256_HQC_128,P256_Dilithium2,95.091614
P256_HQC_128,P256_Dilithium2,88.197273
P256_HQC_128,P256_Dilithium2,98.450341
P256_HQC_128,P256_Dilithium2,95.967746
P256_HQC_128,P256_Dilithium2,93.74809
P256_HQC_128,P256_Dilithium2,94.355048
P256_HQC_128,P256_Dilithium2,98.517203
P256_HQC_128,P256_Dilithium2,95.10637
P256_HQC_128,P256_Dilithium2,91.58052
P256_HQC_128,P256_Dilithium2,98.156685
P256_HQC_128,P256_Dilithium2,86.077199
P256_HQC_128,P256_Dilithium2,95.301669
P256_HQC_128,P256_Dilithium2,92.81563
P256_HQC_128,P256_Dilithium2,95.518201
P256_HQC_128,P256_Dilithium2,93.821273
P256_HQC_128,P256_Dilithium2,91.771972
P256_HQC_128,P256_Dilithium2,88.79274
P256_HQC_128,P256_Dilithium2,91.653876
P256_HQC_128,P256_Dilithium2,89.589552
P256_HQC_128,P256_Dilithium2,92.886255
P256_HQC_128,P256_Dilithium2,90.408931
P256_HQC_128,P256_Dilithium2,89.407052
P256_HQC_128,P256_Dilithium2,90.186503
P256_HQC_128,P256_Dilithium2,95.058248
P256_HQC_128,P256_Dilithium2,89.468626
P256_HQC_128,P256_Dilithium2,99.074459
P256_HQC_128,P256_Dilithium2,96.027285
P256_HQC_128,P256_Dilithium2,94.544005
P256_HQC_128,P256_Dilithium2,92.215468
P256_HQC_128,P256_Dilithium2,90.19781
P256_HQC_128,P256_Dilithium2,89.815067
P256_HQC_128,P256_Dilithium2,88.580716
P256_HQC_128,P256_Dilithium2,91.716072
P256_HQC_128,P256_Dilithium2,94.239471
P256_HQC_128,P256_Dilithium2,93.104485
P256_HQC_128,P256_Dilithium2,89.387403
P256_HQC_128,P256_Dilithium2,87.259506
P256_HQC_128,P256_Dilithium2,87.771163
P256_HQC_128,P256_Dilithium2,96.252558
P256_HQC_128,P256_Dilithium2,94.223023
P256_HQC_128,P256_Dilithium2,93.553704
P256_HQC_128,P256_Dilithium2,93.227736
P256_HQC_128,P256_Dilithium2,90.251558
P256_HQC_128,P256_Dilithium2,88.465749
P256_HQC_128,P256_Dilithium2,96.981921
P256_HQC_128,P256_Dilithium2,91.696747
P256_HQC_128,P256_Dilithium2,90.076502
P256_HQC_128,P256_Dilithium2,91.709916
P256_HQC_128,P256_Dilithium2,91.94495
P256_HQC_128,P256_Dilithium2,91.837835
P256_HQC_128,P256_Dilithium2,89.971925
P256_HQC_128,P256_Dilithium2,88.949836
P256_HQC_128,P256_Dilithium2,87.737478
P256_HQC_128,P256_Dilithium2,94.43501
P256_HQC_128,P256_Dilithium2,90.291694
P256_HQC_128,P256_Dilithium2,85.180791
P256_HQC_128,P256_Dilithium2,92.850257
P256_HQC_128,P256_Dilithium2,97.604655
P256_HQC_128,P256_Dilithium2,92.944061
P256_HQC_128,P256_Dilithium2,91.03469
P256_HQC_128,P256_Dilithium2,89.995849
P256_HQC_128,P256_Dilithium2,96.843346
P256_HQC_128,P256_Dilithium2,88.929053
P256_HQC_128,P256_Dilithium2,91.588624
P256_HQC_128,P256_Dilithium2,89.26373
P256_HQC_128,P256_Dilithium2,95.098134
P256_HQC_128,P256_Dilithium2,94.821551
P256_HQC_128,P256_Dilithium2,91.631817
P256_HQC_128,P256_Dilithium2,92.258037
P256_HQC_128,P256_Dilithium2,95.252915
P256_HQC_128,P256_Dilithium2,93.851178
P256_HQC_128,P256_Dilithium2,99.257693
P256_HQC_128,P256_Dilithium2,92.981707
P256_HQC_128,P256_Dilithium2,99.063139
P256_HQC_128,P256_Dilithium2,89.789792
P256_HQC_128,P256_Dilithium2,88.281101
P256_HQC_128,P256_Dilithium2,97.369545
P256_HQC_128,P256_Dilithium2,94.456458
P256_HQC_128,P256_Dilithium2,95.357805
P256_HQC_128,P256_Dilithium2,92.953987
P256_HQC_128,P256_Dilithium2,89.723875
P256_HQC_128,P256_Dilithium2,94.906989
P256_HQC_128,P256_Dilithium2,94.789272
P256_HQC_128,P256_Dilithium2,93.987723
P256_HQC_128,P256_Dilithium2,88.528231
P256_HQC_128,P256_Dilithium2,91.764316
P256_HQC_128,P256_Dilithium2,99.675603
P256_HQC_128,P256_Dilithium2,93.670214
P256_HQC_128,P256_Dilithium2,91.427998
P256_HQC_128,P256_Dilithium2,97.439754
P256_HQC_128,P256_Dilithium2,91.005227
P256_HQC_128,P256_Dilithium2,86.871992
P256_HQC_128,P256_Dilithium2,95.80104
P256_HQC_128,P256_Dilithium2,89.437894
P256_HQC_128,P256_Dilithium2,94.615223
P256_HQC_128,P256_Dilithium2,95.530662
P256_HQC_128,P256_Dilithium2,88.917411
P256_HQC_128,P256_Dilithium2,92.773997
P256_HQC_128,P256_Dilithium2,93.766283
P256_HQC_128,P256_Dilithium2,92.35565
P256_HQC_128,P256_Dilithium2,88.627405
P256_HQC_128,P256_Dilithium2,98.318221
P256_HQC_128,P256_Dilithium2,88.052355
P256_HQC_128,P256_Dilithium2,93.319756
P256_HQC_128,P256_Dilithium2,96.204941
P256_HQC_128,P256_Dilithium2,92.904641
P256_HQC_128,P256_Dilithium2,94.258714
P256_HQC_128,P256_Dilithium2,92.83543
P256_HQC_128,P256_Dilithium2,88.816935
P256_HQC_128,P256_Dilithium2,94.068538
P256_HQC_128,P256_Dilithium2,94.68649
P256_HQC_128,P256_Dilithium2,95.305457
P256_HQC_128,P256_Dilithium2,94.124475
P256_HQC_128,P256_Dilithium2,95.490853
P256_HQC_128,P256_Dilithium2,92.694555
P256_HQC_128,P256_Dilithium2,88.1105
P256_HQC_128,P256_Dilithium2,93.011251
P256_HQC_128,P256_Dilithium2,87.724243
P256_HQC_128,P256_Dilithium2,89.318377
P256_HQC_128,P256_Dilithium2,93.967752
P256_HQC_128,P256_Dilithium2,94.374653
P256_HQC_128,P256_Dilithium2,90.427893
P256_HQC_128,P256_Dilithium2,93.601554
P256_HQC_128,P256_Dilithium2,86.761095
P256_HQC_128,P256_Dilithium2,88.851976
P256_HQC_128,P256_Dilithium2,93.88104
P256_HQC_128,P256_Dilithium2,92.424173
P256_HQC_128,P256_Dilithium2,88.638937
P256_HQC_128,P256_Dilithium2,88.825712
P256_HQC_128,P256_Dilithium2,96.495179
P256_HQC_128,P256_Dilithium2,97.898283
P256_HQC_128,P256_Dilithium2,89.211038
P256_HQC_128,P256_Dilithium2,92.848578
P256_HQC_128,P256_Dilithium2,88.693585
P256_HQC_128,P256_Dilithium2,97.042121
P256_HQC_128,P256_Dilithium2,89.310359
P256_HQC_128,P256_Dilithium2,100.370298
P256_HQC_128,P256_Dilithium2,89.887313
P256_HQC_128,P256_Dilithium2,89.950459
P256_HQC_128,P256_Dilithium2,94.094447
P256_HQC_128,P256_Dilithium2,88.244915
P256_HQC_128,P256_Dilithium2,95.921757
P256_HQC_128,P256_Dilithium2,95.071709
P256_HQC_128,P256_Dilithium2,88.373346
P256_HQC_128,P256_Dilithium2,92.869586
P256_HQC_128,P256_Dilithium2,91.836908
P256_HQC_128,P256_Dilithium2,90.476797
P256_HQC_128,P256_Dilithium2,94.328912
P256_HQC_128,P256_Dilithium2,92.276276
P256_HQC_128,P256_Dilithium2,92.505509
P256_HQC_128,P256_Dilithium2,90.875513
P256_HQC_128,P256_Dilithium2,98.140471
P256_HQC_128,P256_Dilithium2,87.618909
P256_HQC_128,P256_Dilithium2,96.56349
P256_HQC_128,P256_Dilithium2,92.165488
P256_HQC_128,P256_Dilithium2,99.005995
P256_HQC_128,P256_Dilithium2,94.264644
P256_HQC_128,P256_Dilithium2,99.412792
P256_HQC_128,P256_Dilithium2,98.496916
P256_HQC_128,P256_Dilithium2,89.704528
P256_HQC_128,P256_Dilithium2,95.566169
P256_HQC_128,P256_Dilithium2,93.680254
P256_HQC_128,P256_Dilithium2,92.893762
P256_HQC_128,P256_Dilithium2,87.472827
P256_HQC_128,P256_Dilithium2,89.698625
P256_HQC_128,P256_Dilithium2,86.760311
P256_HQC_128,P256_Dilithium2,97.18716
P256_HQC_128,P256_Dilithium2,88.207558
P256_HQC_128,P256_Dilithium2,89.699994
P256_HQC_128,P256_Dilithium2,93.379801
P256_HQC_128,P256_Dilithium2,91.668576
P256_HQC_128,P256_Dilithium2,91.198112
P256_HQC_128,P256_Dilithium2,95.207454
P256_HQC_128,P256_Dilithium2,91.830195
P256_HQC_128,P256_Dilithium2,96.74929
P256_HQC_128,P256_Dilithium2,85.724046
P256_HQC_128,P256_Dilithium2,93.122138
P256_HQC_128,P256_Dilithium2,90.538653
P256_HQC_128,P256_Dilithium2,89.273958
P256_HQC_128,P256_Dilithium2,89.32084
P256_HQC_128,P256_Dilithium2,91.549184
P256_HQC_128,P256_Dilithium2,93.220062
P256_HQC_128,P256_Dilithium2,95.568883
P256_HQC_128,P256_Dilithium2,86.272751
